ticker,category,kind,gate_category,extreme_date,extreme_price,transition_date,state,reason,pending_date,sublevel_date,native_date,invalidated_date,invalid_reason
SPY,divergence,top,divergence,2025-09-05,652.21,2025-09-05,pending,,2025-09-05,,,2025-09-10,superseded
SPY,divergence,top,divergence,2025-09-05,652.21,2025-09-10,invalidated,superseded,2025-09-05,,,2025-09-10,superseded
SPY,vertex,bottom,vertex,2025-09-09,647.22,2025-09-09,pending,,2025-09-09,,,2025-09-10,superseded
SPY,vertex,bottom,vertex,2025-09-09,647.22,2025-09-10,invalidated,superseded,2025-09-09,,,2025-09-10,superseded
SPY,vertex,top,vertex,2025-09-10,654.55,2025-09-10,pending,,2025-09-10,,,2025-09-11,superseded
SPY,vertex,top,vertex,2025-09-10,654.55,2025-09-11,invalidated,superseded,2025-09-10,,,2025-09-11,superseded
SPY,divergence,top,divergence,2025-09-10,654.55,2025-09-10,pending,,2025-09-10,,,2025-09-11,superseded
SPY,divergence,top,divergence,2025-09-10,654.55,2025-09-11,invalidated,superseded,2025-09-10,,,2025-09-11,superseded
SPY,vertex,top,vertex,2025-09-11,658.33,2025-09-11,pending,,2025-09-11,,,2025-09-12,superseded
SPY,vertex,top,vertex,2025-09-11,658.33,2025-09-12,invalidated,superseded,2025-09-11,,,2025-09-12,superseded
SPY,divergence,top,divergence,2025-09-11,658.33,2025-09-11,pending,,2025-09-11,,,2025-09-12,superseded
SPY,divergence,top,divergence,2025-09-11,658.33,2025-09-12,invalidated,superseded,2025-09-11,,,2025-09-12,superseded
SPY,vertex,top,vertex,2025-09-12,659.11,2025-09-12,pending,,2025-09-12,,,2025-09-15,superseded
SPY,vertex,top,vertex,2025-09-12,659.11,2025-09-15,invalidated,superseded,2025-09-12,,,2025-09-15,superseded
SPY,divergence,top,divergence,2025-09-12,659.11,2025-09-12,pending,,2025-09-12,,,2025-09-15,superseded
SPY,divergence,top,divergence,2025-09-12,659.11,2025-09-15,invalidated,superseded,2025-09-12,,,2025-09-15,superseded
SPY,vertex,top,vertex,2025-09-15,661.04,2025-09-15,pending,,2025-09-15,,,2025-09-16,superseded
SPY,vertex,top,vertex,2025-09-15,661.04,2025-09-16,invalidated,superseded,2025-09-15,,,2025-09-16,superseded
SPY,divergence,top,divergence,2025-09-15,661.04,2025-09-15,pending,,2025-09-15,,,2025-09-16,superseded
SPY,divergence,top,divergence,2025-09-15,661.04,2025-09-16,invalidated,superseded,2025-09-15,,,2025-09-16,superseded
SPY,vertex,top,vertex,2025-09-16,661.78,2025-09-16,pending,,2025-09-16,,,2025-09-18,superseded
SPY,vertex,top,vertex,2025-09-16,661.78,2025-09-18,invalidated,superseded,2025-09-16,,,2025-09-18,superseded
SPY,divergence,top,divergence,2025-09-16,661.78,2025-09-16,pending,,2025-09-16,,,2025-09-18,superseded
SPY,divergence,top,divergence,2025-09-16,661.78,2025-09-18,invalidated,superseded,2025-09-16,,,2025-09-18,superseded
SPY,vertex,bottom,vertex,2025-09-17,654.3,2025-09-17,pending,,2025-09-17,,,2025-09-18,superseded
SPY,vertex,bottom,vertex,2025-09-17,654.3,2025-09-18,invalidated,superseded,2025-09-17,,,2025-09-18,superseded
SPY,vertex,top,vertex,2025-09-18,664.89,2025-09-18,pending,,2025-09-18,,,2025-09-22,superseded
SPY,vertex,top,vertex,2025-09-18,664.89,2025-09-22,invalidated,superseded,2025-09-18,,,2025-09-22,superseded
SPY,divergence,top,divergence,2025-09-18,664.89,2025-09-18,pending,,2025-09-18,,,2025-09-22,superseded
SPY,divergence,top,divergence,2025-09-18,664.89,2025-09-22,invalidated,superseded,2025-09-18,,,2025-09-22,superseded
SPY,vertex,top,vertex,2025-09-22,667.29,2025-09-22,pending,,2025-09-22,,,2025-09-23,superseded
SPY,vertex,top,vertex,2025-09-22,667.29,2025-09-23,invalidated,superseded,2025-09-22,,,2025-09-23,superseded
SPY,divergence,top,divergence,2025-09-22,667.29,2025-09-22,pending,,2025-09-22,,,2025-09-23,superseded
SPY,divergence,top,divergence,2025-09-22,667.29,2025-09-23,invalidated,superseded,2025-09-22,,,2025-09-23,superseded
