ticker,market_date,rr_10,rr_25,rr_40,rr_slope,deviation_class,drive_class,rr_25d,fwd_ret,mom,mom_decile,exc_mom
ORCL,2026-04-24,-0.020496129406121666,-0.015984060620143348,-0.02571274183531802,0.006040247537105636,NORMAL,STRUCTURAL,-0.001179083835964989,0.10849492151431206,-0.021901106344547228,2,-0.09635335666986555
ORCL,2026-04-27,-0.008652358107763214,-0.022195908903850592,-0.014857501982985077,-0.00884464576877575,NORMAL,STRUCTURAL,-0.003644194760605068,0.11621184088806658,-0.05196228897171662,2,-0.07360934269407371
ORCL,2026-04-28,-0.006337302045321236,-0.010043099084941609,-0.019170539201361914,-0.00987478823031751,NORMAL,STRUCTURAL,0.00701094691384696,0.15063870812243918,-0.05111492281303598,2,0.009697878155062012
ORCL,2026-04-29,-0.009529497233765283,-0.012883594569739643,-0.029328106057174175,-0.004922185441871618,NORMAL,STRUCTURAL,0.004281174606489913,0.24336202160776388,-0.05190972222222223,2,0.0770206038681236
ORCL,2026-04-30,-0.009016457891056984,-0.025372766603679375,-0.032381460149492725,-0.016027134535053777,NORMAL,STRUCTURAL,0.00370582205883907,0.3989714356527667,-0.0450860895804982,2,0.22233220348720062
ORCL,2026-05-01,-0.019264921328768114,-0.024697657700326947,-0.043788232802712435,-0.012988020897596875,NORMAL,STRUCTURAL,-0.02065188427264597,0.4441599255077693,0.04405152509417909,3,0.20368843005374213
ORCL,2026-05-04,-0.016552834596851862,-0.031425287450087436,-0.0280148740673013,-0.011106536450747995,CHEAP,STRUCTURAL,-0.03833933254951094,0.3565921570802597,0.12639010371110837,5,0.2602460562325234
ORCL,2026-05-05,-0.026048997529180662,-0.023130897295864816,-0.0393144471941701,-0.009319676265319154,NORMAL,STRUCTURAL,-0.02013473696496193,0.24267601834367425,0.19835779401306008,5,0.12180973460000032
ORCL,2026-05-06,-0.01743146776520521,-0.006893751734525,-0.01638601627460534,0.009619733220101678,NORMAL,STRUCTURAL,-0.01597054470120807,0.21805906303149003,0.32290175223290385,5,0.1135916653478257
ORCL,2026-05-07,-0.01962719657758849,-0.03345346967913021,-0.023490959406658796,-0.010900964630550791,NORMAL,STRUCTURAL,-0.01157950792264295,0.09810370522637335,0.42577667057444324,6,-0.029965700753612795
ORCL,2026-05-08,-0.03874781990931153,-0.04903735887777205,-0.024919311583608827,-0.018007267165724206,NORMAL,STRUCTURAL,-0.021742437527146,0.08099004848175562,0.37200672174765437,6,0.03113815974424909
ORCL,2026-05-11,-0.03239506575315898,-0.025396632296785793,-0.0385016371034117,0.009591469421133092,CHEAP,STRUCTURAL,-0.03576779664232199,0.06175196037969455,0.23788236796730322,5,0.04930032440412351
ORCL,2026-05-12,-0.038595836109431514,-0.03303363906564327,-0.020048848585894175,-0.013888072797703432,NORMAL,STRUCTURAL,-0.018573963144777,0.07723598993737602,0.16849083745074767,4,0.030980917814644515
ORCL,2026-05-13,-0.07702408667517235,-0.05157040012466951,-0.034658457374412754,-0.01273394828966723,CHEAP,STRUCTURAL,-0.052082681219828,-0.029827150084317022,0.20743191651819792,5,-0.07324262427652552
ORCL,2026-05-14,-0.030628343790083168,-0.0453000797433869,-0.029089255983483886,-0.002391532037638311,NORMAL,STRUCTURAL,-0.02585213041349599,-0.058688206124431375,0.25006390593047056,4,-0.059282936350678425
ORCL,2026-05-15,-0.038761780897881626,-0.04691664239191806,-0.03279623450188596,-0.008567253693406052,CHEAP,STRUCTURAL,-4.154643743414491,-0.0016066338429645555,0.20488322717622087,4,0.001892137556829862
ORCL,2026-05-18,-0.0627177606675563,-0.045980019841018405,-0.033631739596388543,-0.02036296425551587,CHEAP,STRUCTURAL,-0.04074554452443202,0.009217083757569355,0.21198934857439777,5,0.07221095823853556
ORCL,2026-05-19,-0.05068458257552522,-0.0394813877869703,-0.026838177247212158,-0.008958051560458813,NORMAL,STRUCTURAL,-0.02865285866962997,0.011407472721260747,0.1619389127233144,5,0.10997740564744135
ORCL,2026-05-20,-0.051735040554563794,-0.030982115991213144,-0.02608250030038539,-0.010626954525448484,CHEAP,STRUCTURAL,-0.071705612217251,-0.020567602040816313,0.20199310080490607,5,0.06000283189600189
ORCL,2026-05-21,-0.05683523854920669,-0.04475548225412185,-0.03168636745898035,-0.006929863058097729,NORMAL,STRUCTURAL,-0.01888163280772603,-0.07746219107340468,0.2815370070232306,6,-0.07951889118937804
ORCL,2026-05-22,-0.07650822150838887,-0.04652596525741004,-0.03585317289624712,-0.007538120403676851,RICH,STRUCTURAL,2.757497265343388,-0.1401499375260309,0.35928101337484963,6,-0.11330199975806754
ORCL,2026-05-26,-0.0825371947160245,-0.0459498719777125,-0.024748796387070282,-0.00698198855521015,NORMAL,STRUCTURAL,-0.02531473011901908,-0.18403605096861075,0.3210619953469278,5,-0.056392739019239746
ORCL,2026-05-27,-0.09141293088600944,-0.05505045047383417,-0.026114496414021526,-0.015264483494635606,NORMAL,STRUCTURAL,-0.02769111538662794,-0.2016129032258065,0.2912299682196229,6,-0.14135026733543504
ORCL,2026-05-28,,-0.09020080624471305,-0.05169557959506299,-0.01828556140082327,CHEAP,STRUCTURAL,-0.091209882805515,-0.2708394698085419,0.35519925487326187,6,-0.2115859795843211
ORCL,2026-05-29,,,-0.0637186953658262,,RICH,CHASE,0.0673360889378769,-0.34555762246434585,0.5528198074277855,7,-0.34562841947555245
ORCL,2026-06-01,,-0.17277840757009244,-0.08522690710430625,-0.030019779290974213,CHEAP,CHASE,-0.1664960547843559,-0.4094297803747733,0.6626465661641541,7,-0.29525287597765504
ORCL,2026-06-02,-0.247452243347573,-0.1534279180451269,-0.10240258744487951,-0.04323852275814599,CHEAP,CHASE,-0.093925692403386,-0.41643061574944806,0.6413663512515941,6,-0.2897810812504994
OXY,2025-12-26,0.04191169897824845,0.0019931602310822583,-0.015822502387117632,-0.0003787264750583774,NORMAL,PANIC,-0.00916345824167997,0.11794228356336256,-0.16052243522224563,1,0.025151029766559613
OXY,2025-12-29,0.011395846604856263,-0.0018928207273431474,-0.01762060801628834,-0.008435916916750774,NORMAL,PANIC,0.003139954907254994,0.109378866617174,-0.15987525987525997,1,0.020340830603752566
OXY,2025-12-30,0.008839791577719025,-0.01195646782066112,-0.028788755945898636,-0.009352444850598995,CHEAP,PANIC,-0.01774295959918998,0.09551374819102754,-0.1225396825396825,1,-0.008531830509928423
OXY,2025-12-31,0.025796855150346243,-0.026843925845769223,-0.021070025921519908,-0.025865518747769822,CHEAP,PANIC,-0.01376975627037796,0.10384241245136194,-0.13830678960603526,2,0.07510239481442899
OXY,2026-01-02,0.013725442469927185,-0.02848276306237335,-0.030445675639537595,-0.0215464080773084,NORMAL,PANIC,-0.00754798852856997,0.03350637092968367,-0.041826814379380406,3,0.051018972955648674
OXY,2026-01-05,-0.02163068952867908,-0.02168558758022332,-0.02632124509599104,-0.019190954444325115,NORMAL,PANIC,0.004995855596165,0.09774436090225569,-0.08071348940914169,2,0.16019633051005855
OXY,2026-01-06,0.013831246323257496,-0.03705171145555952,-0.03545844104287488,-0.03192682114603157,CHEAP,PANIC,-0.01499163711671703,0.11859127934834679,-0.08061674008810571,2,0.18946918199003768
OXY,2026-01-07,-0.05224739085656083,-0.019045465797090266,-0.024178694481340413,-0.016784863652867965,CHEAP,PANIC,-0.01711726895435101,0.10002439619419379,-0.09574233399514664,2,0.17936502119144487
