market_date,mean_rrz,panic,chase,n,net_fear,VIX,VIX3M,VVIX,r_fwd,vix_fwd_chg,d_fear,d_rrz,d_vix,fear_resid
2026-02-19,1.8751771424149282,0.4166666666666667,0.21428571428571427,84,0.2023809523809524,20.23,21.88,111.67,-0.03605656848994865,0.18932278793870472,0.011904761904761946,0.5201217898206612,0.6099999999999994,0.11168487458147244
2026-02-20,1.6431164355187187,0.4166666666666667,0.20238095238095238,84,0.2142857142857143,19.09,21.09,108.71,-0.05926635046342621,0.40282870612886335,0.01190476190476189,-0.2320607068962095,-1.1400000000000006,0.15975983184580012
2026-02-23,1.8688532851332293,0.49411764705882355,0.2,85,0.29411764705882354,21.01,22.14,115.66,-0.03958147100631604,0.24464540694907178,0.07983193277310924,0.22573684961451068,1.9200000000000017,0.17867354085543002
2026-02-24,1.673172366007928,0.47058823529411764,0.2235294117647059,85,0.24705882352941175,19.55,21.34,108.61,-0.049712664581363364,0.37851662404092057,-0.04705882352941179,-0.19568091912530128,-1.4600000000000009,0.17793794997949727
2026-02-25,1.5514100696801467,0.4823529411764706,0.23529411764705882,85,0.24705882352941178,17.93,20.36,103.98,-0.05241289764120305,0.41271611823759047,2.7755575615628914e-17,-0.12176229632778135,-1.620000000000001,0.22933770127993303
2026-02-26,1.7276226778667962,0.5294117647058824,0.2235294117647059,85,0.3058823529411765,18.63,20.81,104.15,-0.06413753082837648,0.4728931830381107,0.05882352941176472,0.17621260818664952,0.6999999999999993,0.2659514616112626
2026-02-27,2.0677477960940607,0.5294117647058824,0.18823529411764706,85,0.3411764705882353,19.86,21.56,110.89,-0.07565707954926448,0.5634441087613293,0.03529411764705881,0.34012511822726443,1.2300000000000004,0.2622198421598425
2026-03-02,2.0474196253358863,0.46511627906976744,0.2441860465116279,86,0.22093023255813954,21.44,22.44,113.44,-0.07927095777849003,0.42770522388059695,-0.12024623803009576,-0.02032817075817439,1.5800000000000018,0.0918429824910501
2026-03-03,2.159821576412218,0.5232558139534884,0.16279069767441862,86,0.3604651162790698,23.57,23.54,116.02,-0.04408154866020908,0.07127704709376315,0.13953488372093026,0.11240195107633166,2.129999999999999,0.16379671172437055
2026-03-04,1.9361906324592095,0.38372093023255816,0.18604651162790697,86,0.19767441860465118,21.15,22.29,106.94,-0.04362675696583129,0.16028368794326253,-0.16279069767441862,-0.22363094395300842,-2.4200000000000017,0.07778835858517075
2026-03-05,2.438079474009738,0.27906976744186046,0.13953488372093023,86,0.13953488372093023,23.75,23.86,115.93,-0.037398541045926104,0.00505263157894742,-0.05813953488372095,0.5018888415505283,2.6000000000000014,-0.06284460431159525
2026-03-06,2.311000156995338,0.29069767441860467,0.1511627906976744,86,0.13953488372093026,29.49,27.56,140.44,-0.02000356941015502,-0.18040013563919965,2.7755575615628914e-17,-0.12707931701439978,5.739999999999998,-0.24496471077116355
2026-03-09,2.6228907570220557,0.3488372093023256,0.1511627906976744,86,0.19767441860465118,25.5,25.34,122.6,-0.028086160378610225,0.01098039215686275,0.05813953488372092,0.31189060002671765,-3.9899999999999984,-0.060229492128962225
2026-03-10,1.9544014574404833,0.4418604651162791,0.12790697674418605,86,0.313953488372093,24.93,25.51,125.36,-0.0017277533299860925,-0.15603690332932207,0.11627906976744184,-0.6684892995815723,-0.5700000000000003,0.07413467531826257
2026-03-11,2.077701406491646,0.45348837209302323,0.18604651162790697,86,0.26744186046511625,24.23,24.97,122.49,0.005293273993464576,-0.19562525794469676,-0.04651162790697677,0.1232999490511626,-0.6999999999999993,0.049832816491720944
2026-03-12,2.025214510020955,0.46511627906976744,0.10465116279069768,86,0.36046511627906974,27.29,26.95,130.18,0.02011830765997069,-0.295346280688897,0.09302325581395349,-0.05248689647069105,3.0599999999999987,0.04576765318262932
2026-03-13,2.1486439133861186,0.43023255813953487,0.13953488372093023,86,0.2906976744186046,27.19,27.28,131.05,0.035951018436032545,-0.29680029422581833,-0.06976744186046513,0.12342940336516373,-0.09999999999999787,-0.02082696452348809
2026-03-16,1.8652360173394567,0.46511627906976744,0.16279069767441862,86,0.3023255813953488,23.51,24.92,116.78,0.03801025365080801,-0.2190557209698002,0.011627906976744207,-0.28340789604666194,-3.6799999999999997,0.1075608713332582
2026-03-17,1.8579898740349816,0.37209302325581395,0.19767441860465115,86,0.1744186046511628,22.37,24.33,110.55,0.043456223259142446,-0.18775145283862316,-0.12790697674418602,-0.007246143304475039,-1.1400000000000006,0.01582408994863807
2026-03-18,1.5783298505013084,0.4883720930232558,0.1511627906976744,86,0.3372093023255814,25.09,26.56,126.5,0.06082276280180832,-0.2849740932642486,0.1627906976744186,-0.27966002353367325,2.719999999999999,0.09231397062479435
2026-03-19,1.7642870473598757,0.46511627906976744,0.19767441860465115,86,0.2674418604651163,24.06,25.54,118.09,0.07629584722643235,-0.2734829592684954,-0.06976744186046507,0.18595719685856738,-1.0300000000000011,0.0552266175541124
2026-03-20,2.082275233043244,0.47674418604651164,0.13953488372093023,86,0.33720930232558144,26.78,27.43,126.28,0.09274249502752197,-0.29536967886482446,0.06976744186046513,0.3179881856833682,2.7200000000000024,0.03869324241631511
2026-03-23,1.7882547993827171,0.4186046511627907,0.1511627906976744,86,0.2674418604651163,26.15,26.1,122.82,0.07430803503311068,-0.254302103250478,-0.06976744186046513,-0.29402043366052677,-0.6300000000000026,-0.01108540727175833
2026-03-24,2.0336155856496427,0.47674418604651164,0.1511627906976744,86,0.32558139534883723,26.95,26.56,124.14,0.08884227931045063,-0.2979591836734693,0.05813953488372092,0.2453607862669256,0.8000000000000007,0.021671534377179613
2026-03-25,1.9791994057118831,0.5116279069767442,0.16279069767441862,86,0.3488372093023256,25.33,25.63,119.37,0.07860601077920881,-0.2376628503750493,0.023255813953488358,-0.0544161799377596,-1.620000000000001,0.0963270996311037
2026-03-26,1.9565789915973306,0.5581395348837209,0.10465116279069768,86,0.45348837209302323,27.44,27.16,124.43,0.10672929358694128,-0.3181486880466472,0.10465116279069764,-0.02262041411455251,2.110000000000003,0.13403167276506084
2026-03-27,2.1665516759908288,0.6162790697674418,0.09302325581395349,86,0.5232558139534884,31.05,29.27,133.18,0.127868283682127,-0.419645732689211,0.06976744186046518,0.20997268439349814,3.6099999999999994,0.08926016265356751
2026-03-30,2.282113033394334,0.6627906976744186,0.08139534883720931,86,0.5813953488372092,30.61,29.13,127.84,0.12614522841274112,-0.4175106174452794,0.05813953488372081,0.11556135740350504,-0.4400000000000013,0.16136012381641907
2026-03-31,2.0794442413972978,0.6395348837209303,0.12790697674418605,86,0.5116279069767442,25.25,25.55,116.05,0.09416612848663775,-0.25504950495049505,-0.06976744186046502,-0.20266879199703602,-5.359999999999999,0.2616560566290005
2026-04-01,1.8899033690622273,0.6395348837209303,0.13953488372093023,86,0.5,24.54,24.86,114.83,0.09678896282278249,-0.31173594132029336,-0.011627906976744207,-0.18954087233507044,-0.7100000000000009,0.27255520114812626
2026-04-02,2.0812459481511207,0.5348837209302325,0.1744186046511628,86,0.36046511627906974,23.87,24.72,115.33,0.09883658875013324,-0.28822790113112706,-0.13953488372093026,0.1913425790888934,-0.6699999999999982,0.15427823926132678
2026-04-06,1.8432116728657313,0.3953488372093023,0.18604651162790697,86,0.20930232558139533,24.17,24.77,113.53,0.0896605102211161,-0.2432767894083575,-0.1511627906976744,-0.23803427528538945,0.3000000000000007,-0.006403023899391236
2026-04-07,2.061726083874131,0.45348837209302323,0.1744186046511628,86,0.2790697674418604,25.78,25.57,117.3,0.09791875246503445,-0.32583397982932516,0.06976744186046507,0.21851441100839963,1.6099999999999994,0.01228194907607294
2026-04-08,1.7031431674812392,0.36046511627906974,0.18604651162790697,86,0.17441860465116277,21.04,22.68,111.07,0.08553127912309,-0.17347908745247143,-0.10465116279069764,-0.35858291639289175,-4.740000000000002,0.05802265120146499
2026-04-09,1.4139445580335195,0.36046511627906974,0.16279069767441862,86,0.19767441860465113,19.49,21.81,105.37,0.07599535232604326,-0.12365315546434075,0.023255813953488358,-0.2891986094477197,-1.5500000000000007,0.1304572395473455
2026-04-10,1.1237424277600347,0.3488372093023256,0.11627906976744186,86,0.23255813953488375,19.23,21.86,107.3,0.08559738615959733,-0.10608424336973477,0.03488372093023262,-0.29020213027348474,-0.259999999999998,0.17359030327888253
2026-04-13,1.2110396853771574,0.2558139534883721,0.12790697674418605,86,0.12790697674418605,19.12,21.34,102.63,0.0775397172423844,-0.03870292887029303,-0.1046511627906977,0.0872972576171227,-0.10999999999999943,0.0724292470579675
