bucket,ticker,n,sep_naive,sep_nonoverlap,eff_n,t_stat
single_name/NORMAL/CHASE,AAOI,55,0.2589343315131224,0.19678120168431312,6,0.9303745368107509
single_name/NORMAL/CHASE,BE,48,0.32746941597854357,0.27273005772140585,6,2.253006273789349
single_name/NORMAL/CHASE,SNDK,74,0.35078708774422546,0.3350113697121948,8,3.4578806593713276
single_name/NORMAL/CHASE,IREN,46,0.3760785030009153,0.4673445760417647,3,1.3766670330772082
single_name/NORMAL/CHASE,ALAB,14,0.4268908308141471,0.3740999982750396,2,1.7787888243865027
single_name/NORMAL/CHASE,PL,6,0.5215081818812979,0.4714480638735622,2,2.4275990423650033
single_name/RICH/PANIC,ISRG,47,-0.15108478784724383,-0.13375902231222211,6,-6.759758408286046
single_name/RICH/PANIC,ASTS,5,-0.13032551491969888,0.22702974714762478,2,0.4572164855536626
single_name/RICH/PANIC,SOFI,62,-0.11791257338598825,-0.06592422877292332,7,-1.7144030024421892
single_name/RICH/PANIC,LLY,49,-0.11460624260552568,-0.07678721477641426,4,-2.131130261872264
single_name/RICH/PANIC,SNOW,56,-0.11347481912710736,-0.07301018754048942,6,-1.2345374526857629
single_name/RICH/PANIC,ALAB,20,-0.112969656557116,-0.052289516362585026,2,-0.43484285428061925
single_name/RICH/PANIC,HD,31,-0.1115930882679686,-0.0687611026146503,5,-2.581791436525604
single_name/RICH/PANIC,IBM,49,-0.10995262444292998,-0.050968589800185475,4,-0.48544050070547073
single_name/RICH/PANIC,MSTR,110,-0.09890445338369072,-0.14926574538933163,9,-3.127483952137111
single_name/RICH/PANIC,META,49,-0.0982711434802223,-0.07338316329757945,6,-3.352055883413851
single_name/RICH/PANIC,HOOD,72,-0.09808782765269647,-0.07888182021272624,5,-1.560167706356982
single_name/RICH/PANIC,MCD,32,-0.09351880731316453,-0.045928923935471176,6,-0.9474054406792143
single_name/RICH/PANIC,CRM,46,-0.09345983524545046,-0.13438940595795112,4,-2.930990983193305
single_name/RICH/PANIC,KO,12,-0.08840369839937429,-0.05996609335015428,5,-1.038836840987873
single_name/RICH/PANIC,TSLA,69,-0.08276442523455745,-0.04598644156673311,5,-0.850813751538558
single_name/RICH/PANIC,MSFT,63,-0.08061465994044816,-0.07999675873527042,7,-3.4833502702202535
single_name/RICH/PANIC,BLK,52,-0.07273828423639361,-0.04631311332267807,6,-1.8605938123911865
single_name/RICH/PANIC,COST,24,-0.06564772486211216,-0.06807092547749842,5,-1.308672520532027
single_name/RICH/PANIC,SBUX,20,-0.061780592760300054,0.016531573371572843,3,0.34820584727350684
single_name/RICH/PANIC,WFC,51,-0.06006635598122169,-0.009867338520717793,6,-0.27138637011309935
single_name/RICH/PANIC,APP,59,-0.0585885472784397,-0.04746088665112821,7,-0.7041866162703152
single_name/RICH/PANIC,PFE,7,-0.0535250539696458,-0.09243734618715167,2,-2.190214536848108
single_name/RICH/PANIC,JPM,37,-0.05142888252191467,-0.028624739403850605,6,-0.9933211290128828
single_name/RICH/PANIC,COIN,75,-0.04976305991375746,-0.08490001840500351,7,-1.4753814916712926
single_name/RICH/PANIC,TGT,5,-0.04612339416213657,-0.004183385809336318,2,-0.17839117286603395
single_name/RICH/PANIC,GS,43,-0.038411940108269677,-0.02178940713253094,6,-0.6878188156855041
single_name/RICH/PANIC,ASML,26,-0.03833012805466815,-0.00915101213652778,3,-0.0972341296796154
single_name/RICH/PANIC,CRWD,67,-0.037182963300195146,-0.06255801875148317,5,-1.0465619969775999
single_name/RICH/PANIC,JNJ,6,-0.03620223499681599,-0.024104720482605875,4,-0.3035624812290282
single_name/RICH/PANIC,AAPL,53,-0.031527360554291804,-0.041487442435018965,5,-0.9712230967452362
single_name/RICH/PANIC,NVDA,45,-0.028393644841916338,-0.03246000633873973,5,-1.2378869533004868
single_name/RICH/PANIC,OXY,3,-0.024272708484937136,-0.03321081686660825,2,-0.391505309668034
single_name/RICH/PANIC,MS,40,-0.020232452605588848,-0.005435863102441402,5,-0.28032039224641114
single_name/RICH/PANIC,CDNS,44,-0.018506323593496923,-0.003430373152655819,5,-0.06654096739495519
single_name/RICH/PANIC,PLTR,62,-0.016499509946384893,-0.047558308316450706,7,-0.9334662845885894
single_name/RICH/PANIC,SNPS,30,-0.01607482812567516,-0.021151929078991504,3,-0.4861443374267851
single_name/RICH/PANIC,GOOGL,45,-0.014822605454565457,-0.013458404846898631,5,-0.6140141835684457
single_name/RICH/PANIC,NET,47,-0.01295540310445376,0.04537937479601386,7,0.8013283876351417
single_name/RICH/PANIC,OKLO,38,-0.01271428635869584,-0.03332265291502203,3,-0.221319737487365
single_name/RICH/PANIC,BAC,41,-0.011791436677496013,-0.00235356946708219,7,-0.09072877750729688
single_name/RICH/PANIC,AMAT,16,-0.0097931366594003,0.12377462791267872,3,4.571262088330731
single_name/RICH/PANIC,AMZN,18,-0.008679194614137804,-0.03597097781203145,4,-0.9310694315120223
single_name/RICH/PANIC,TSM,28,-0.007240180371850006,-0.010390577480047725,4,-0.45118812755292004
single_name/RICH/PANIC,NKE,2,0.008524687854286127,0.03249791105466231,1,
single_name/RICH/PANIC,ORCL,22,0.013965387939896464,-0.0048376276784736875,4,-0.07152816371829364
single_name/RICH/PANIC,MARA,41,0.01497780850605465,0.04905495418372081,3,0.40432101510512675
single_name/RICH/PANIC,PANW,31,0.02818913636936738,-0.010418618483220291,4,-0.20178374255988724
single_name/RICH/PANIC,LRCX,25,0.030928304551447336,0.015283786072165115,3,0.27097593085403016
single_name/RICH/PANIC,HIMS,31,0.03884473237824208,-0.06208492784370347,3,-0.21963011970813368
single_name/RICH/PANIC,AVGO,41,0.03888001753820951,0.012695492007169351,5,0.2647460292697907
