pricing,delta,dte,fee,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar5,worst_month,win_rate,breach_rate,mean_credit,n_trades
flat,0.25,21,0.0,0.0546296927441412,0.07380437399466691,0.21564320324600478,-0.20526945286687248,0.26613649513437976,-0.010952749183127029,-0.10750694918734238,0.8697355533790402,0.16258570029382957,2.220895296562875,1021
flat,0.25,21,0.005,0.04936965315482156,0.07380290962216701,0.1478844431051961,-0.2071279734684851,0.2383533828294479,-0.010972373136516202,-0.10791414880276706,0.8697355533790402,0.16258570029382957,2.220895296562875,1021
flat,0.25,21,0.01,0.04413574479297644,0.0738014452496671,0.08012299401761912,-0.20898218456582696,0.21119381484441413,-0.010991997089905491,-0.10832117070759184,0.8697355533790402,0.16258570029382957,2.220895296562875,1021
flat,0.25,21,0.015,0.03892783835658986,0.07379998087716724,0.0123588558239551,-0.21083209606647468,0.1846390520365364,-0.011011621043294664,-0.10872801497584761,0.8697355533790402,0.16258570029382957,2.220895296562875,1021
flat,0.25,30,0.0,0.05307672731558122,0.07361097883292352,0.19592533055768505,-0.22734819827459496,0.23346007453938236,-0.010886559810154003,-0.10378889722966411,0.8763493621197253,0.1521099116781158,2.6625496370744157,1019
flat,0.25,30,0.005,0.04782443325029684,0.07360951829762923,0.12798855055373506,-0.2291550865294376,0.20869898187554844,-0.010906185076824391,-0.10419779320488132,0.8763493621197253,0.1521099116781158,2.6625496370744157,1019
flat,0.25,30,0.01,0.04259823193368151,0.07360805776233494,0.060049074538462706,-0.23095778500417286,0.18444163695504726,-0.010925810343494888,-0.10460651072917282,0.8763493621197253,0.1521099116781158,2.6625496370744157,1019
flat,0.25,30,0.015,0.037397994254116496,0.07360659722704059,-0.007893097647881014,-0.23275630333112451,0.16067446388729265,-0.01094543561016528,-0.10501504987687482,0.8763493621197253,0.1521099116781158,2.6625496370744157,1019
flat,0.25,42,0.0,0.05170483275414317,0.08211708280524609,0.1678589984214743,-0.25959848308740474,0.19917232234648521,-0.012214822679530732,-0.11308192301067299,0.8711897738446411,0.15339233038348082,3.1578145922864747,1017
flat,0.25,42,0.005,0.04645938110924064,0.08211545349804758,0.10695945469671528,-0.26132995229745304,0.17778054410065966,-0.012234421591779107,-0.11348657904640758,0.8711897738446411,0.15339233038348082,3.1578145922864747,1017
flat,0.25,42,0.01,0.041239988220707735,0.08211382419084905,0.046057494227156534,-0.2630574066077269,0.15677181932461268,-0.012254020504027593,-0.1138910584816164,0.8711897738446411,0.15339233038348082,3.1578145922864747,1017
flat,0.25,42,0.015,0.03604652514512474,0.08211219488365055,-0.014846883130395764,-0.2647808552484947,0.13613720339144372,-0.012273619416275989,-0.11429536138986585,0.8711897738446411,0.15339233038348082,3.1578145922864747,1017
flat,0.25,63,0.0,0.0514946524015536,0.08004084207270827,0.16757993167739446,-0.24906312568935196,0.2067534174680725,-0.011802795623646854,-0.09489401576531165,0.8764822134387352,0.1551383399209486,3.869062316626702,1012
flat,0.25,63,0.005,0.0462502490459078,0.08003925396076242,0.10510066802466506,-0.24994169299246916,0.18504415366707683,-0.011822402711035233,-0.09530697002681776,0.8764822134387352,0.1551383399209486,3.869062316626702,1012
flat,0.25,63,0.01,0.041031899238858305,0.08003766584881647,0.04261892493732377,-0.25081924980741455,0.16359150771068667,-0.011842009798423727,-0.0957197440662767,0.8764822134387352,0.1551383399209486,3.869062316626702,1012
flat,0.25,63,0.015,0.03583947406275767,0.08003607773687062,-0.0198652977314959,-0.2516957972763767,0.14239202422360606,-0.0118616168858121,-0.09613233795875986,0.8764822134387352,0.1551383399209486,3.869062316626702,1012
