ticker,in_taxonomy,activity_per_day,full_name,sector,marketcap,total_open_interest,avg_30_day_call_volume,avg_30_day_put_volume,avg30_volume,close
ECHO,no,22766,EchoStar,Technology,14329167290,628812,15172.1333,7594.2,5431712.227272727273,90.04
HL,no,22618,HECLA MINING CO,Basic Materials,11319298062,747999,16109.2,6509.2333,40006287.454545454545,16.85
OWL,no,21431,BLUE OWL CAPITAL INC,Financial Services,8117995035,1152497,12455.7,8975.3667,19447056,11.87
SIRI,no,21080,SIRIUS XM HOLDINGS INC,Communication Services,10081670710,373982,19255.5667,1824.8333,3956352.409090909091,29.91
FSLR,no,20809,FIRST SOLAR INC,Technology,26872820489,629221,13076.3333,7733.2667,2424246.454545454545,250.05
NCLH,no,20305,NORWEGIAN CRUISE LINE HOLDINGS LTD,Consumer Cyclical,8839366036,546927,12496.7,7808.3333,14665028.545454545455,19.25
NEM,no,20248,NEWMONT CORP,Basic Materials,119046152778,539038,14411.6333,5836.5,7375129.136363636364,112.98
CPNG,no,19627,COUPANG INC,Consumer Cyclical,26612472396,728893,14725.2333,4901.9333,20929604.681818181818,16.23
SLB,no,17477,SCHLUMBERGER LIMITED,Energy,74993757462,749164,11127.2,6350.5333,12413492,50.53
OSCR,no,17182,OSCAR HEALTH INC,Healthcare,7629785100,538121,11631.7333,5550.5667,5005857.181818181818,27.9
BKNG,no,16287,BOOKING HOLDINGS INC,Consumer Cyclical,161111006810,662046,9844.3667,6443.2333,6254131.409090909091,214.42
IBRX,no,15659,IMMUNITYBIO INC,Healthcare,8097149126,567533,12485.6,3174.0333,9659728,7.64
PTON,no,15534,PELOTON INTERACTIVE INC,Consumer Cyclical,2402839237,786130,10534.2,5000.5667,8712490.590909090909,5.68
RIG,no,15421,TRANSOCEAN LTD,Energy,5874789247,1275787,11435.7667,3986.0667,41790532.727272727273,5.26
BTG,no,13981,B2GOLD CORP,Basic Materials,6743327936,700692,8520.7333,5461.1667,21719443.818181818182,5.03
VFC,no,11357,V F CORP,Consumer Cyclical,5893087204,586721,5875.0333,5482.1,8352750.909090909091,14.99
