ticker,asset_class,market_date,expiry,strike,horizon,gap,d_iv,d_s,pnl_vega,pnl_delta,pnl_theta,gross,vega,harvest_vp,breakeven_spread_vp
SNDK,single_name,2026-02-18,2028-01-21,1080.0,40,0.25087,0.05332,319.07,17.3126,186.699,-12.5335,191.478,3.24673261503772,5.3323,5.3323
SNDK,single_name,2026-02-19,2028-01-21,1080.0,20,0.16571,0.08647,151.0,28.8613,89.5051,-6.3121,112.0543,3.33758456128583,8.6474,8.6474
SNDK,single_name,2026-02-19,2028-01-21,1080.0,40,0.16571,0.06096,299.9,20.3455,177.7654,-12.8496,185.2613,3.33758456128583,6.0959,6.0959
SNDK,single_name,2026-02-24,2027-06-17,1020.0,20,0.11031,-0.02186,63.96,-6.2952,35.9671,-8.3776,21.2943,2.88005155205214,-2.1858,2.1858
SNDK,single_name,2026-02-24,2027-06-17,1020.0,40,0.11031,0.03338,340.55,9.6139,191.5038,-17.0545,184.0633,2.88005155205214,3.3381,3.3381
SNDK,single_name,2026-02-25,2027-06-17,1020.0,20,0.12277,-0.02457,45.48,-7.0214,25.2365,-8.2506,9.9645,2.85733864079165,-2.4573,2.4573
SNDK,single_name,2026-02-25,2027-06-17,1020.0,40,0.12277,0.02,300.05,5.7141,166.4953,-16.7958,155.4135,2.85733864079165,1.9998,1.9998
SNDK,single_name,2026-02-27,2027-06-17,1020.0,20,0.1146,0.02227,-19.53,6.3938,-10.6816,-8.1415,-12.4292,2.87094058068924,2.2271,2.2271
SNDK,single_name,2026-02-27,2027-06-17,1020.0,40,0.1146,0.06506,434.84,18.6795,237.8274,-17.1553,239.3516,2.87094058068924,6.5064,6.5064
SNDK,single_name,2026-03-02,2027-06-17,1020.0,20,0.10295,0.01805,-46.58,5.0495,-24.9377,-7.964,-27.8522,2.79784824895017,1.8048,1.8048
SNDK,single_name,2026-03-02,2027-06-17,1020.0,40,0.10295,0.07131,383.27,19.9523,205.1929,-16.2123,208.9328,2.79784824895017,7.1313,7.1313
SNDK,single_name,2026-03-03,2027-06-17,1000.0,20,0.13669,0.07502,69.93,19.1844,34.904,-7.1395,46.9488,2.55728958318262,7.5018,7.5018
SNDK,single_name,2026-03-03,2027-06-17,1000.0,40,0.13669,0.0997,498.8,25.4954,248.9646,-14.5339,259.926,2.55728958318262,9.9697,9.9697
SNDK,single_name,2026-03-04,2027-06-17,1020.0,20,0.13722,0.07208,93.67,19.5353,47.7284,-7.51,59.7538,2.71011270333453,7.2083,7.2083
SNDK,single_name,2026-03-04,2027-06-17,1020.0,40,0.13722,0.09622,497.45,26.0777,253.4697,-15.2882,264.2593,2.71011270333453,9.6224,9.6224
SNDK,single_name,2026-03-05,2027-06-17,980.0,20,0.15371,0.06685,136.0,17.1092,67.6984,-7.0211,77.7865,2.55941714082683,6.6848,6.6848
SNDK,single_name,2026-03-05,2027-06-17,980.0,40,0.15371,0.09828,621.41,25.153,309.3269,-14.2929,320.1869,2.55941714082683,9.8276,9.8276
SNDK,single_name,2026-03-06,2027-06-17,920.0,20,0.15288,0.06195,197.3,14.7463,98.723,-7.3526,106.1167,2.38023690181064,6.1953,6.1953
SNDK,single_name,2026-03-06,2027-06-17,920.0,40,0.15288,0.07954,728.53,18.932,364.5345,-13.9937,369.4728,2.38023690181064,7.9538,7.9538
SNDK,single_name,2026-03-09,2027-06-17,1020.0,20,0.17352,0.06296,122.07,16.6769,60.8754,-7.6489,69.9033,2.64900701553594,6.2955,6.2955
SNDK,single_name,2026-03-09,2027-06-17,1020.0,40,0.17352,0.11093,817.59,29.3848,407.7258,-15.034,422.0766,2.64900701553594,11.0928,11.0928
SNDK,single_name,2026-03-10,2027-06-17,1020.0,20,0.17581,0.07179,162.01,19.9619,83.5727,-8.0137,95.5209,2.78047045909336,7.1793,7.1793
SNDK,single_name,2026-03-10,2027-06-17,1020.0,40,0.17581,0.1034,791.09,28.7501,408.0832,-15.7511,421.0822,2.78047045909336,10.34,10.34
SNDK,single_name,2026-03-11,2027-06-17,1020.0,20,0.1929,0.09517,196.14,27.9363,104.2471,-8.3442,123.8392,2.93547365625782,9.5168,9.5168
