ticker,asset_class,market_date,expiry,strike,dte,hv20,hv60,atm_iv,entry_iv_fixed,gap,horizon,iv_fwd,fwd_ret,d_iv,entry_idx
GOOGL,single_name,2026-01-22,2027-03-19,360,421,0.1765126050784574,0.28960830151999317,0.3956826459240877,0.396147478049174,-0.10607,20,0.388700110546187,-0.04707,-0.00745,17
GOOGL,single_name,2026-01-22,2027-03-19,360,421,0.1765126050784574,0.28960830151999317,0.3956826459240877,0.396147478049174,-0.10607,40,0.380472813344289,-0.08937,-0.01567,17
GOOGL,single_name,2026-01-23,2027-03-19,360,420,0.17535615478317654,0.28311515456799685,0.39668715771719587,0.396590687257887,-0.11357,20,0.396337675688524,-0.05013,-0.00025,18
GOOGL,single_name,2026-01-23,2027-03-19,360,420,0.17535615478317654,0.28311515456799685,0.39668715771719587,0.396590687257887,-0.11357,40,0.37560010168209,-0.07889,-0.02099,18
GOOGL,single_name,2026-01-26,2027-03-19,365,417,0.18178846198773885,0.2835394389224029,0.40089181448198546,0.400945871063894,-0.11735,20,0.39133202925673,-0.06709,-0.00961,19
GOOGL,single_name,2026-01-26,2027-03-19,365,417,0.18178846198773885,0.2835394389224029,0.40089181448198546,0.400945871063894,-0.11735,40,0.373143363304203,-0.12849,-0.0278,19
GOOGL,single_name,2026-01-27,2027-03-19,365,416,0.1809123083510587,0.27962568434947344,0.3952804678902116,0.395483142441736,-0.11565,20,0.38711611583635,-0.06471,-0.00837,20
GOOGL,single_name,2026-01-27,2027-03-19,365,416,0.1809123083510587,0.27962568434947344,0.3952804678902116,0.395483142441736,-0.11565,40,0.370029941088937,-0.13038,-0.02545,20
GOOGL,single_name,2026-01-28,2027-03-19,365,415,0.18057503517912418,0.27600657695853964,0.3935489636735932,0.394338248534816,-0.11754,20,0.386763694155739,-0.08521,-0.00757,21
GOOGL,single_name,2026-01-28,2027-03-19,365,415,0.18057503517912418,0.27600657695853964,0.3935489636735932,0.394338248534816,-0.11754,40,0.373291800972302,-0.16395,-0.02105,21
GOOGL,single_name,2026-01-29,2027-03-19,370,414,0.18065227256445393,0.2759818103701536,0.3969813075804127,0.396900958537127,-0.121,20,0.387974552997082,-0.07831,-0.00893,22
GOOGL,single_name,2026-01-29,2027-03-19,370,414,0.18065227256445393,0.2759818103701536,0.3969813075804127,0.396900958537127,-0.121,40,0.369844757762489,-0.18894,-0.02706,22
GOOGL,single_name,2026-01-30,2027-03-19,370,413,0.1798512818160282,0.2758151104002704,0.3959316739677835,0.395769521988106,-0.12012,20,0.3907233918779,-0.09314,-0.00505,23
GOOGL,single_name,2026-01-30,2027-03-19,370,413,0.1798512818160282,0.2758151104002704,0.3959316739677835,0.395769521988106,-0.12012,40,0.366855364274769,-0.19083,-0.02891,23
GOOGL,single_name,2026-02-02,2027-03-19,375,410,0.1853463476171192,0.2722519619203675,0.3994688582466127,0.399789666822484,-0.12722,20,0.387311140079925,-0.1167,-0.01248,24
GOOGL,single_name,2026-02-02,2027-03-19,375,410,0.1853463476171192,0.2722519619203675,0.3994688582466127,0.399789666822484,-0.12722,40,0.358969424090463,-0.16332,-0.04082,24
GOOGL,single_name,2026-02-03,2027-03-19,370,409,0.1938305611561176,0.27058617236672755,0.4049352003018326,0.40573160659773,-0.13435,20,0.384980793336409,-0.10768,-0.02075,25
GOOGL,single_name,2026-02-03,2027-03-19,370,409,0.1938305611561176,0.27058617236672755,0.4049352003018326,0.40573160659773,-0.13435,40,0.367702880798555,-0.12458,-0.03803,25
GOOGL,single_name,2026-02-04,2027-03-19,365,408,0.20793103807403654,0.2745823076760403,0.40697206818396053,0.407178339124809,-0.13239,20,0.387332344999406,-0.09656,-0.01985,26
GOOGL,single_name,2026-02-04,2027-03-19,365,408,0.20793103807403654,0.2745823076760403,0.40697206818396053,0.407178339124809,-0.13239,40,0.370529533895316,-0.11191,-0.03665,26
GOOGL,single_name,2026-02-05,2027-03-19,360,407,0.19404163121282741,0.27068152342041996,0.40039290620991197,0.40116204216116,-0.12971,20,0.388686379870785,-0.09881,-0.01248,27
GOOGL,single_name,2026-02-05,2027-03-19,360,407,0.19404163121282741,0.27068152342041996,0.40039290620991197,0.40116204216116,-0.12971,40,0.374233543124889,-0.09437,-0.02693,27
GOOGL,single_name,2026-02-06,2027-03-19,350,406,0.2129750614460417,0.2658410992467995,0.39300832685901593,0.393862232183636,-0.12717,20,0.390357602377013,-0.05111,-0.0035,28
GOOGL,single_name,2026-02-06,2027-03-19,350,406,0.2129750614460417,0.2658410992467995,0.39300832685901593,0.393862232183636,-0.12717,40,0.382154426858064,-0.05389,-0.01171,28
GOOGL,single_name,2026-02-09,2027-03-19,355,403,0.21057735663502167,0.26585542695081427,0.3947408682058172,0.394262842323865,-0.12889,20,0.387954846796968,-0.05328,-0.00631,29
GOOGL,single_name,2026-02-09,2027-03-19,355,403,0.21057735663502167,0.26585542695081427,0.3947408682058172,0.394262842323865,-0.12889,40,0.38350697176701,-0.02158,-0.01076,29
GOOGL,single_name,2026-02-10,2027-03-19,345,402,0.21508569556868562,0.2664364706720308,0.3913088993676421,0.391872673721212,-0.12487,20,0.387511826087762,-0.03101,-0.00436,30
GOOGL,single_name,2026-02-10,2027-03-19,345,402,0.21508569556868562,0.2664364706720308,0.3913088993676421,0.391872673721212,-0.12487,40,0.38794089650708,-0.00028,-0.00393,30
GOOGL,single_name,2026-02-11,2027-03-19,340,401,0.22172835887271197,0.2643447116151132,0.389102635262985,0.388465802814097,-0.12476,20,0.393806120375118,-0.02383,0.00534,31
GOOGL,single_name,2026-02-11,2027-03-19,340,401,0.22172835887271197,0.2643447116151132,0.389102635262985,0.388465802814097,-0.12476,40,0.385052625686795,0.0202,-0.00341,31
GOOGL,single_name,2026-02-12,2027-03-19,335,400,0.2214934354395362,0.2641345424494187,0.39184635141987156,0.392222738997752,-0.12771,20,0.393272835125682,-0.02175,0.00105,32
GOOGL,single_name,2026-02-12,2027-03-19,335,400,0.2214934354395362,0.2641345424494187,0.39184635141987156,0.392222738997752,-0.12771,40,0.388667078405312,0.03984,-0.00356,32
GOOGL,single_name,2026-02-13,2027-03-19,330,399,0.22201197225176528,0.25839720175661934,0.3902264726437292,0.390951954095421,-0.13183,20,0.388435563442341,-0.00052,-0.00252,33
GOOGL,single_name,2026-02-13,2027-03-19,330,399,0.22201197225176528,0.25839720175661934,0.3902264726437292,0.390951954095421,-0.13183,40,0.394726418773914,0.08894,0.00377,33
GOOGL,single_name,2026-02-17,2027-03-19,330,395,0.223353608130534,0.2597355947240718,0.3897800112900362,0.389110743434951,-0.13004,20,0.38723587898527,0.02947,-0.00187,34
GOOGL,single_name,2026-02-17,2027-03-19,330,395,0.223353608130534,0.2597355947240718,0.3897800112900362,0.389110743434951,-0.13004,40,0.397681185697452,0.11622,0.00857,34
GOOGL,single_name,2026-02-18,2027-03-19,330,394,0.21210157963278298,0.2529457121581371,0.38798424187392055,0.387577151767581,-0.13504,20,0.391852834686942,0.01437,0.00428,35
GOOGL,single_name,2026-02-18,2027-03-19,330,394,0.21210157963278298,0.2529457121581371,0.38798424187392055,0.387577151767581,-0.13504,40,0.397262458302164,0.10777,0.00969,35
GOOGL,single_name,2026-02-19,2027-03-19,330,393,0.19477391398634594,0.2517264602781283,0.3900585030825415,0.389586700345314,-0.13833,20,0.390114313643865,0.01413,0.00053,36
GOOGL,single_name,2026-02-19,2027-03-19,330,393,0.19477391398634594,0.2517264602781283,0.3900585030825415,0.389586700345314,-0.13833,40,0.393672026308626,0.12822,0.00409,36
GOOGL,single_name,2026-02-20,2027-03-19,340,392,0.24621924523635993,0.25453776248531174,0.3932455360353031,0.394088860713528,-0.13871,20,0.386886712890616,-0.04438,-0.0072,37
GOOGL,single_name,2026-02-20,2027-03-19,340,392,0.24621924523635993,0.25453776248531174,0.3932455360353031,0.394088860713528,-0.13871,40,0.391128105406859,0.07124,-0.00296,37
GOOGL,single_name,2026-02-23,2027-03-19,340,389,0.24743581504147463,0.22237359265455228,0.4017152814534613,0.401271473324309,-0.15428,20,0.382621992350717,-0.03027,-0.01865,38
GOOGL,single_name,2026-02-23,2027-03-19,340,389,0.24743581504147463,0.22237359265455228,0.4017152814534613,0.401271473324309,-0.15428,40,0.38657261454755,0.06678,-0.0147,38
GOOGL,single_name,2026-02-24,2027-03-19,340,388,0.23744471240579143,0.22002517850977862,0.3985096083476032,0.397939231053941,-0.16106,20,0.381155112622775,-0.06581,-0.01678,39
GOOGL,single_name,2026-02-24,2027-03-19,340,388,0.23744471240579143,0.22002517850977862,0.3985096083476032,0.397939231053941,-0.16106,40,0.39129616898871,0.09141,-0.00664,39
GOOGL,single_name,2026-02-25,2027-03-19,340,387,0.23865848447498997,0.21945376806092776,0.39360696985604343,0.393484121843605,-0.15495,20,0.37745499475101,-0.07021,-0.01603,40
GOOGL,single_name,2026-02-25,2027-03-19,340,387,0.23865848447498997,0.21945376806092776,0.39360696985604343,0.393484121843605,-0.15495,40,0.389735298124304,0.08306,-0.00375,40
GOOGL,single_name,2026-02-26,2027-03-19,335,386,0.2421093026472543,0.2223234410402337,0.3954436548792503,0.395047099404434,-0.15333,20,0.382800428965434,-0.08608,-0.01225,41
GOOGL,single_name,2026-02-26,2027-03-19,335,386,0.2421093026472543,0.2223234410402337,0.3954436548792503,0.395047099404434,-0.15333,40,0.396617890986601,0.12044,0.00157,41
GOOGL,single_name,2026-02-27,2027-03-19,340,385,0.24806372689860745,0.2218302660921894,0.3965162403859459,0.395931842864608,-0.14845,20,0.376650227597728,-0.12003,-0.01928,42
GOOGL,single_name,2026-02-27,2027-03-19,340,385,0.24806372689860745,0.2218302660921894,0.3965162403859459,0.395931842864608,-0.14845,40,0.403329071493841,0.12375,0.0074,42
GOOGL,single_name,2026-03-02,2027-03-19,335,382,0.2518163005842885,0.22437284532116564,0.4004938870022881,0.399822470358374,-0.14868,20,0.374984485791101,-0.10773,-0.02484,43
GOOGL,single_name,2026-03-02,2027-03-19,335,382,0.2518163005842885,0.22437284532116564,0.4004938870022881,0.399822470358374,-0.14868,40,0.401200422227105,0.14113,0.00138,43
GOOGL,single_name,2026-03-03,2027-03-19,330,381,0.23889935148284594,0.22360007063364554,0.39874364381839805,0.398696626309435,-0.15984,20,0.374123262511588,-0.05277,-0.02457,44
GOOGL,single_name,2026-03-03,2027-03-19,330,381,0.23889935148284594,0.22360007063364554,0.39874364381839805,0.398696626309435,-0.15984,40,0.40338121250717,0.15271,0.00468,44
