start,year,month,equity,drawdown_pct
2022-01-03,2022,7,153059.80362731172,-0.035246587006336934
2022-01-03,2022,8,153059.80362731172,-0.035246587006336934
2022-01-03,2022,9,153059.80362731172,-0.035246587006336934
2022-01-03,2022,10,140609.03901230308,-0.12231487102737634
2022-01-03,2022,11,154336.06985141896,-0.026321648376216377
2022-01-03,2022,12,154336.06985141896,-0.026321648376216377
2022-01-03,2023,1,160319.8050432672,0.0
2022-01-03,2023,2,165375.54644779253,0.0
2022-01-03,2023,3,177680.3132117299,0.0
2022-01-03,2023,4,192975.6113164685,0.0
2022-01-03,2023,5,214966.32007151036,0.0
2022-01-03,2023,6,233327.25322203926,0.0
2022-01-03,2023,7,241964.43557915432,0.0
2022-01-03,2023,8,253559.13768720263,0.0
2022-01-03,2023,9,272338.95305030234,0.0
2022-01-03,2023,10,276783.70807225094,0.0
2022-01-03,2023,11,299423.4278430827,0.0
2022-01-03,2023,12,310101.4823394916,0.0
2022-01-03,2024,1,311809.27733266883,0.0
2022-01-03,2024,2,317033.9055039397,0.0
2022-01-03,2024,3,318962.8929651998,0.0
2022-01-03,2024,4,318962.8929651998,0.0
2022-01-03,2024,5,331481.8885802887,0.0
2022-01-03,2024,6,336492.0422914063,0.0
2022-01-03,2024,7,346654.50702422165,0.0
2022-01-03,2024,8,362675.18070161203,0.0
2022-01-03,2024,9,368576.78147439257,0.0
2022-01-03,2024,10,372188.54950059,0.0
2022-01-03,2024,11,382277.0501307019,0.0
2022-01-03,2024,12,395778.95190892095,0.0
2022-01-03,2025,1,406065.67585439153,0.0
2022-01-03,2025,2,406065.67585439153,0.0
2022-01-03,2025,3,406065.67585439153,0.0
2022-01-03,2025,4,365187.383899839,-0.2858621815003673
2022-01-03,2025,5,372644.9669093816,-0.2337112513637057
2022-01-03,2025,6,372644.9669093816,-0.2337112513637057
2022-01-03,2025,7,378785.4318878069,-0.19077093682926305
2022-01-03,2025,8,403541.5123592301,-0.01765149297315702
2022-01-03,2025,9,418638.6867140407,0.0
2022-01-03,2025,10,430558.0543935496,0.0
2022-01-03,2025,11,453501.0738127321,0.0
2022-01-03,2025,12,461512.2160236372,0.0
2022-01-03,2026,1,465603.14324621175,0.0
2022-01-03,2026,2,471759.91129900055,0.0
2022-01-03,2026,3,466695.2348505395,-0.03541731782140613
2022-01-03,2026,4,485281.11552376824,0.0
2022-01-03,2026,5,501472.2145162389,0.0
