sector,deviation_class,verdict,mean_realized_vrp,mean_holdout,rich_cheap_spread,n,n_holdout,survives_walkforward,survives_window_gate,confidence,as_of,inserted_at
Consumer,NORMAL,HARVEST_SELLABLE,0.021687998596045,0.0188554487117855,0.0636828767350044,508,203,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Consumer,CHEAP,NONE,-0.0115003469901446,-0.0193294892653286,0.0636828767350044,325,130,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
NeoCloud,NORMAL,NONE,-0.0104137517187347,-0.0159453478198468,0.219766374924648,377,151,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
NeoCloud,RICH,HARVEST_SELLABLE,0.102569015813616,0.102949175820319,0.219766374924648,151,60,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
NeoCloud,CHEAP,NONE,-0.117197359111032,-0.110152061119158,0.219766374924648,184,74,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Networking/Optical,NORMAL,NONE,0.0280457771459581,0.051902002271627,0.13835389895873,168,67,t,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Networking/Optical,RICH,NONE,0.00169239460625012,0.11845012053916,0.13835389895873,96,38,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Networking/Optical,CHEAP,NONE,-0.136661504352479,-0.152233702783413,0.13835389895873,67,27,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Energy,NORMAL,NONE,-0.0107484970649259,0.0173398783365535,0.0844159435127727,182,73,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Energy,CHEAP,NONE,-0.0249857054112118,-0.0138284599698867,0.0844159435127727,132,53,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Energy,RICH,HARVEST_SELLABLE,0.059430238101561,0.0757938064097947,0.0844159435127727,100,40,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Computer/GPU,RICH,HARVEST_SELLABLE,0.12560974218458,0.150893069998151,0.189973131372936,88,35,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Computer/GPU,NORMAL,NONE,0.0067667910784944,0.0138066124852829,0.189973131372936,235,94,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Computer/GPU,CHEAP,NONE,-0.0643633891883565,-0.0692951443773802,0.189973131372936,94,38,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
DC-REIT/Colo,NORMAL,HARVEST_SELLABLE,0.258727557509283,0.159270749873166,0.480451523132204,108,43,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
DC-REIT/Colo,CHEAP,NONE,-0.00446878886189113,0.0751129938189204,0.480451523132204,36,14,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
DC-REIT/Colo,RICH,HARVEST_SELLABLE,0.475982734270313,0.355105441445203,0.480451523132204,42,17,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Power/Electrical,CHEAP,NONE,-0.0958207359145311,-0.0879003744868166,0.203530565875709,92,37,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Power/Electrical,NORMAL,NONE,-0.00366035969008832,0.0330717012434012,0.203530565875709,140,56,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Power/Electrical,RICH,HARVEST_SELLABLE,0.107709829961177,0.16518444543184,0.203530565875709,60,24,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Healthcare,NORMAL,NONE,0.00887570470819381,0.0115942979454887,0.139742075536307,511,204,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Healthcare,CHEAP,NONE,-0.0605815826129566,-0.0443805254839526,0.139742075536307,319,128,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Healthcare,RICH,HARVEST_SELLABLE,0.0791604929233503,0.0747886623078658,0.139742075536307,245,98,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Fintech,CHEAP,NONE,-0.126262269765273,-0.162227127742398,0.235206707366991,118,47,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Fintech,NORMAL,NONE,-0.00981446336145965,-0.0133739190018336,0.235206707366991,180,72,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Fintech,RICH,HARVEST_SELLABLE,0.108944437601717,0.138632125907547,0.235206707366991,114,46,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Foundry,CHEAP,NONE,-0.1421781246537,-0.107722719548774,0.310202809008066,178,71,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Foundry,NORMAL,NONE,-0.00704449545487466,-0.00858251805592336,0.310202809008066,372,149,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Foundry,RICH,HARVEST_SELLABLE,0.168024684354366,0.156892924310338,0.310202809008066,160,64,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Quantum,CHEAP,NONE,-0.119604322890532,-0.149415751006746,0.32150445954979,80,32,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
