sector,deviation_class,verdict,mean_realized_vrp,mean_holdout,rich_cheap_spread,n,n_holdout,survives_walkforward,survives_window_gate,confidence,as_of,inserted_at
Software/SaaS,RICH,NONE,-0.0341279231746476,-0.012506895301502,-0.0582291349512892,193,77,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Semi-Cap,CHEAP,NONE,-0.00663489245333451,-0.0215860494936975,-0.0089849096148949,361,144,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Semi-Cap,NORMAL,NONE,-0.0146433525938935,-0.0351479658608441,-0.0089849096148949,641,256,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Semi-Cap,RICH,NONE,-0.0156198020682294,-0.0150399108725405,-0.0089849096148949,337,135,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Semi-Logic,CHEAP,NONE,-0.00374419723600179,-0.0640196415895018,-0.00435221507181282,278,111,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Semi-Logic,NORMAL,NONE,0.00449373301754016,-0.018228545964249,-0.00435221507181282,499,200,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Semi-Logic,RICH,NONE,-0.00809641230781461,-0.0272299668557416,-0.00435221507181282,279,112,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
AI-Cloud/NeoCloud,RICH,NONE,0.0290523202262104,0.100282398771842,-0.0665365750365565,245,98,t,f,,2026-09-24,2026-09-24 14:12:56.865823+08
AI-Cloud/NeoCloud,NORMAL,HARVEST_SELLABLE,0.0570179622545944,0.0709094873498747,-0.0665365750365565,563,225,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
AI-Cloud/NeoCloud,CHEAP,HARVEST_SELLABLE,0.0955888952627669,0.0879280852047011,-0.0665365750365565,357,143,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
SaaS,NORMAL,NONE,-0.0139065898459652,-0.0183297340677818,-0.0442501546594855,656,262,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
SaaS,RICH,NONE,-0.0389611571512502,-0.0518768342960381,-0.0442501546594855,418,167,f,t,,2026-09-24,2026-09-24 14:12:56.865823+08
SaaS,CHEAP,NONE,0.00528899750823532,-0.0166372914687016,-0.0442501546594855,434,174,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Space,NORMAL,NONE,0.0200949263438409,0.0333628009469537,0.108312664576945,472,189,t,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Space,CHEAP,NONE,-0.0263193351626609,0.0282134425948505,0.108312664576945,273,109,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Space,RICH,NONE,0.0819933294142843,0.0860023522243551,0.108312664576945,217,87,t,f,,2026-09-24,2026-09-24 14:12:56.865823+08
