ticker,market_date,expiry,dte,n_strikes,a,b,rho,m,sigma,rmse_volpts,min_butterfly_g,liquid,calendar_viol_on_date
NVDA,2025-12-26,2026-01-23,28,16,0.004687169300702578,0.043510700240727555,-0.8203135100137041,-0.11613646509046258,0.12893673809059336,0.4678,0.230082,True,0
NVDA,2025-12-26,2026-03-20,84,24,0.03986237319644991,0.039345239548323745,-0.9146829251195657,-0.12663308117492014,0.025360480263939,0.7981,0.507545,True,0
NVDA,2026-01-16,2026-01-23,7,13,1.0000000000283664e-08,0.020933616553072104,-0.6661741216426392,-0.03709322684265399,0.1018698008132831,0.1978,0.380065,True,0
NVDA,2026-01-16,2026-02-13,28,15,0.00749106202607554,0.037299601977796096,-0.9648326616371733,-0.1328250307254937,0.13311204450478406,0.4233,0.339232,True,0
NVDA,2026-01-16,2026-04-17,91,24,0.03907301143496627,0.043566548408329804,-0.8061991061782277,-0.1334650546350215,0.0619166603715301,0.844,0.48557,True,0
NVDA,2026-02-06,2026-02-13,7,18,0.0026496707588631843,0.022334224757946997,-0.9989560661471709,-0.045791854928059234,0.06815223165548195,0.2844,0.335092,True,0
NVDA,2026-02-06,2026-03-06,28,20,0.008047465695780695,0.06246323995562131,-0.8634764384851087,-0.19441002784440364,0.2606991928585431,0.47,0.388664,True,0
NVDA,2026-02-06,2026-05-15,98,28,0.05139652958174051,0.061101057356942566,-0.8985530485760879,-0.1616543544566768,0.10831714588073403,0.8847,0.41664,True,0
NVDA,2026-03-02,2026-03-09,7,8,1.2316756778685043e-08,0.025702117613771218,-0.7367560499475443,-0.01606940823755659,0.13550004513519467,0.1847,0.419469,True,0
NVDA,2026-03-02,2026-04-02,31,19,0.0008925655227277278,0.05867605590377136,-0.5599095199548165,-0.041773951223646834,0.2822330348862798,0.4895,0.422003,True,0
NVDA,2026-03-02,2026-05-15,74,23,0.0354781474622515,0.04600648754016112,-0.9989999999999999,-0.08640138636939079,0.06253961015009216,0.7232,0.454076,True,0
NVDA,2026-03-20,2026-03-27,7,15,1.0000000000385691e-08,0.036935031435606475,-0.7969897869336797,-0.06357971600787066,0.10699867973897312,0.4632,0.241967,True,0
NVDA,2026-03-20,2026-04-17,28,15,1.0000005599232617e-08,0.05500226629193993,-0.8515552477017232,-0.10335599341771427,0.2705656695947277,0.4894,0.333268,True,0
NVDA,2026-03-20,2026-06-18,90,105,0.034412264806721694,0.07030045377196624,-0.9989999999999997,-0.1579368110911809,0.2274230627849124,0.9343,0.343736,True,0
NVDA,2026-04-10,2026-04-17,7,14,1.0000000024022943e-08,0.024293340583306487,-0.5765818699068624,-0.037244039629975585,0.08278314228282477,0.2796,0.327223,True,0
NVDA,2026-04-10,2026-05-08,28,15,1.0000073789425876e-08,0.049011173358101665,-0.5978119293181084,-0.08397921543287186,0.1999300678395563,0.4477,0.356677,True,0
NVDA,2026-04-10,2026-07-17,98,32,0.037320890932674065,0.05343891948444866,-0.9749861915206188,-0.15995293203914016,0.0689858532307148,0.8148,0.367024,True,0
NVDA,2026-04-30,2026-05-06,6,8,1.0152427388665407e-08,0.02550532157576101,0.327949525565291,0.036303902570473,0.0965965773635079,0.2412,0.535555,True,0
NVDA,2026-04-30,2026-05-29,29,22,0.00023771590536971165,0.06511860504844073,-0.42543468978897603,-0.10914107241839784,0.26211624514821735,0.535,0.372331,True,0
NVDA,2026-04-30,2026-07-17,78,34,0.0295715716778268,0.06625084544981341,-0.6787188888516504,-0.1329058300474896,0.11513995976652137,0.7435,0.344699,True,0
