spread_vp,n_trades,n_months,sharpe,maxdd,annror,mean_ret,hit_rate,mean_net_dollars,median_net_dollars,mean_gross_dollars,mean_ivonly_dollars,mean_capital,mean_holdout_ret,n_holdout,survives_walkforward,survives_quarter_gate,variant,threshold,horizon,breakeven_spread_vp_dollars,breakeven_spread_vp_sharpe0,breakeven_spread_vp_sharpe1
0.0,1376,9,-3.509519101256792,-0.44479920571377257,-0.5930656076183636,-0.04725760990099574,0.4265988372093023,-30.076148300769077,-5.299881524458902,-27.476148300769076,-34.24335394089578,574.9127906976744,-0.06541986709362743,550,True,True,naive,2.0,2,,,
0.02,1376,9,-4.534816060802726,-0.5521273924638069,-0.7361698566184092,-0.06108122211187983,0.3960755813953488,-33.67352045721175,-9.487733820061692,-27.476148300769076,-34.24335394089578,574.9127906976744,-0.07355130018967823,550,True,True,naive,2.0,2,,,
0.05,1376,9,-6.098314725316837,-0.7131196725888586,-0.9508262301184781,-0.08181664042820597,0.35755813953488375,-39.06957869187577,-15.495022960820187,-27.476148300769076,-34.24335394089578,574.9127906976744,-0.08574844983375444,550,True,True,naive,2.0,2,,,
0.1,1376,9,-8.40006329816378,-0.9814401394639445,-1.3085868526185926,-0.11637567095541618,0.3241279069767442,-48.063009082982454,-25.364977019217562,-27.476148300769076,-34.24335394089578,574.9127906976744,-0.10607703257388146,550,True,True,naive,2.0,2,,,
0.15,1376,9,-9.882344939979,-1.2497606063390303,-1.666347475118707,-0.15093470148262636,0.29651162790697677,-57.056439474089146,-35.494502948029705,-27.476148300769076,-34.24335394089578,574.9127906976744,-0.12640561531400848,550,True,True,naive,2.0,2,,,
0.2,1376,9,-10.551164583929358,-1.518081073214116,-2.0241080976188215,-0.18549373200983654,0.27252906976744184,-66.04986986519584,-44.16069463747929,-27.476148300769076,-34.24335394089578,574.9127906976744,-0.14673419805413548,550,True,True,naive,2.0,2,,,
0.3,1376,9,-10.651362400248363,-2.0547220069642873,-2.7396293426190503,-0.25461179306425696,0.24345930232558138,-84.0367306474092,-60.885435504252825,-27.476148300769076,-34.24335394089578,574.9127906976744,-0.1873913635343895,550,True,True,naive,2.0,2,,,
0.4,1376,9,-10.308904207697688,-2.5913629407144594,-3.45515058761928,-0.3237298541186774,0.21438953488372092,-102.0235914296226,-77.16817864863526,-27.476148300769076,-34.24335394089578,574.9127906976744,-0.22804852901464354,550,True,True,naive,2.0,2,,,
0.5,1376,9,-9.960369632125534,-3.1280038744646315,-4.170671832619509,-0.3928479151730977,0.19040697674418605,-120.01045221183597,-93.41183382489828,-27.476148300769076,-34.24335394089578,574.9127906976744,-0.2687056944948975,550,True,True,naive,2.0,2,,,
0.0,1366,8,-0.355669317727607,-0.6863253298011557,-0.25119717236533623,-0.0811033828035865,0.410688140556369,-52.76377177551251,-11.802448951054975,-50.1637717755125,-40.15638856503418,572.1669106881405,-0.10118343697427094,546,True,True,naive,2.0,5,,,
0.02,1366,8,-0.5581191769449118,-0.7683672296379507,-0.3988639246225213,-0.09499801622392627,0.38433382137628114,-56.36077974728433,-15.557271048533494,-50.1637717755125,-40.15638856503418,572.1669106881405,-0.10946515672902354,546,True,True,naive,2.0,5,,,
0.05,1366,8,-0.8520620248687513,-0.8914300793931433,-0.6203640530082989,-0.11583996635443594,0.35651537335285505,-61.7562917049421,-21.644697604231695,-50.1637717755125,-40.15638856503418,572.1669106881405,-0.12188773636115247,546,True,True,naive,2.0,5,,,
0.1,1366,8,-1.3149676393578313,-1.104345796122323,-0.9895309336512614,-0.15057654990528543,0.3235724743777452,-70.74881163437166,-30.524580286696917,-50.1637717755125,-40.15638856503418,572.1669106881405,-0.14259203574803397,546,True,True,naive,2.0,5,,,
0.15,1366,8,-1.7434007855395086,-1.339865439919918,-1.358697814294224,-0.18531313345613484,0.30161054172767204,-79.74133156380125,-41.8584179702303,-50.1637717755125,-40.15638856503418,572.1669106881405,-0.16329633513491548,546,True,True,naive,2.0,5,,,
0.2,1366,8,-2.1376295802739387,-1.5753850837175132,-1.727864694937187,-0.22004971700698434,0.2884333821376281,-88.73385149323084,-52.117307617024025,-50.1637717755125,-40.15638856503418,572.1669106881405,-0.184000634521797,546,True,True,naive,2.0,5,,,
0.3,1366,8,-2.8287914044877893,-2.0464243713127033,-2.466198456223112,-0.28952288410868315,0.26061493411420206,-106.71889135209,-71.77729413096196,-50.1637717755125,-40.15638856503418,572.1669106881405,-0.22540923329555998,546,True,True,naive,2.0,5,,,
