ticker,category_token,kind,extreme_date,entry,period,horizon,mom_bucket,trend_agree,depth_favorable,gamma_regime,signed_ret,signed_baseline,edge,state_edge,correct
RSP,3S,3S,2022-05-27,extreme,H1,20,2,True,False,,0.09117446571988308,-0.007739324749472312,0.09891379046935539,0.09575009810925603,1
RSP,divergence,top,2022-12-01,confirmation,H1,1,2,False,False,,0.005911530882652727,-0.00038557326903472115,0.006297104151687448,0.006215234701629557,1
RSP,divergence,top,2022-12-01,confirmation,H1,3,2,False,False,,0.03947815451518644,-0.001165791703621749,0.04064394621880819,0.03998351171197308,1
RSP,divergence,top,2022-12-01,confirmation,H1,5,2,False,False,,0.04638448140008844,-0.0019398389714503205,0.04832432037153876,0.04609273340321994,1
RSP,divergence,top,2022-12-01,confirmation,H1,10,2,False,False,,0.04925003565215946,-0.0039090265635026,0.053159062215662065,0.04918307871069593,1
RSP,divergence,top,2022-12-01,confirmation,H1,20,2,False,False,,-0.014679115161900569,-0.007739324749472312,-0.006939790412428257,-0.010103482772527624,0
RSP,divergence,top,2022-12-01,extreme,H1,1,4,False,True,,0.0006039052539758005,-0.00038557326903472115,0.0009894785230105216,0.001182712533033074,1
RSP,divergence,top,2022-12-01,extreme,H1,3,4,False,True,,0.030664966785211023,-0.001165791703621749,0.031830758488832774,0.0321269445083938,1
RSP,divergence,top,2022-12-01,extreme,H1,5,4,False,True,,0.026035026504730774,-0.0019398389714503205,0.027974865476181096,0.028356722741434193,1
RSP,divergence,top,2022-12-01,extreme,H1,10,4,False,True,,0.03985774676239684,-0.0039090265635026,0.04376677332589944,0.04297464442404432,1
RSP,divergence,top,2022-12-01,extreme,H1,20,4,False,True,,0.04831463746645848,-0.007739324749472312,0.056053962215930786,0.04723951241596089,1
RSP,divergence,bottom,2023-05-31,confirmation,H1,1,3,True,False,,-0.0014301280305092368,0.00038557326903472115,-0.0018157012995439579,-0.0016797928392273838,0
RSP,divergence,bottom,2023-05-31,confirmation,H1,3,3,True,False,,-0.014096976300735364,0.001165791703621749,-0.015262768004357113,-0.014892781559332482,0
RSP,divergence,bottom,2023-05-31,confirmation,H1,5,3,True,False,,0.004017978752383744,0.0019398389714503205,0.0020781397809334235,0.0025187821867526288,1
RSP,divergence,bottom,2023-05-31,confirmation,H1,10,3,True,False,,0.017229637700898914,0.0039090265635026,0.013320611137396314,0.01516165911481573,1
RSP,divergence,bottom,2023-05-31,confirmation,H1,20,3,True,False,,0.04910106238082257,0.007739324749472312,0.04136173763135026,0.04454112022983569,1
RSP,divergence,bottom,2023-05-31,extreme,H1,1,1,False,True,,0.007520951221259287,0.00038557326903472115,0.007135377952224566,0.007562834031835721,1
RSP,divergence,bottom,2023-05-31,extreme,H1,3,1,False,True,,0.026001002793496264,0.001165791703621749,0.024835211089874513,0.026184324009182927,1
RSP,divergence,bottom,2023-05-31,extreme,H1,5,1,False,True,,0.04054150848793059,0.0019398389714503205,0.038601669516480266,0.03997857994358066,1
RSP,divergence,bottom,2023-05-31,extreme,H1,10,1,False,True,,0.05472387364801956,0.0039090265635026,0.05081484708451696,0.05119481241486008,1
RSP,divergence,bottom,2023-05-31,extreme,H1,20,1,False,True,,0.06706372026269847,0.007739324749472312,0.05932439551322616,0.05621768571262974,1
RSP,divergence,top,2023-07-27,confirmation,H1,1,2,False,False,neg,0.004979688114270631,-0.00038557326903472115,0.0053652613833053515,0.00528339193324746,1
RSP,divergence,top,2023-07-27,confirmation,H1,3,2,False,False,neg,0.009042065260123078,-0.001165791703621749,0.010207856963744827,0.009547422456909718,1
RSP,divergence,top,2023-07-27,confirmation,H1,5,2,False,False,neg,0.009042065260123078,-0.0019398389714503205,0.010981904231573398,0.008750317263254578,1
RSP,divergence,top,2023-07-27,confirmation,H1,10,2,False,False,neg,0.03518542786004453,-0.0039090265635026,0.03909445442354713,0.035118470918580995,1
RSP,divergence,top,2023-07-27,confirmation,H1,20,2,False,False,neg,0.025815751539772003,-0.007739324749472312,0.03355507628924431,0.03039138392914495,1
RSP,divergence,top,2023-07-27,extreme,H1,1,4,False,True,pos,-0.004946628482165982,-0.00038557326903472115,-0.004561055213131261,-0.004367821203108709,0
RSP,divergence,top,2023-07-27,extreme,H1,3,4,False,True,pos,-0.003970320229107038,-0.001165791703621749,-0.0028045285254852895,-0.0025083425059242636,0
RSP,divergence,top,2023-07-27,extreme,H1,5,4,False,True,pos,0.010544129133038371,-0.0019398389714503205,0.012483968104488692,0.01286582536974179,1
RSP,divergence,top,2023-07-27,extreme,H1,10,4,False,True,pos,0.015620932048945546,-0.0039090265635026,0.019529958612448148,0.018737829710593026,1
