scope,horizon,std,mad,mean,n,cov_1.0,cov_1.0_nominal,cov_1.96,cov_1.96_nominal,pit_ks_stat,pit_ks_p,pit_ks_n_indep,k_ci_lo,k_ci_hi,ci_n_dates
ticker:KO,5,1.055780075864588,0.9788051701954682,0.25954286382844516,149,0.6644295302013423,0.6826894921370859,0.9261744966442953,0.950004209703559,0.16878461130877997,0.32267587628571825,30,0.861438740116128,1.178716452782403,149
ticker:LITE,5,0.7976758068585463,0.7895666160589848,0.2143530323162534,149,0.7516778523489933,0.6826894921370859,1.0,0.950004209703559,0.23209260396400064,0.06648200506739432,30,0.6765158106660142,0.8745557819362565,149
ticker:LLY,5,0.8017920744318849,0.7140095930615102,0.0602758059280135,149,0.785234899328859,0.6826894921370859,0.9798657718120806,0.950004209703559,0.17769601799207435,0.26663766274636624,30,0.6760133314139335,0.9192682777881743,149
ticker:LRCX,5,0.9572376397890063,0.8020426007292051,0.307427653438794,149,0.7114093959731543,0.6826894921370859,0.9463087248322147,0.950004209703559,0.21191299398735447,0.11633983835120632,30,0.7335832373064554,1.1204281707100023,149
ticker:MAGS,5,0.9983822850844477,0.8882149542692325,0.04005993620361897,145,0.6758620689655173,0.6826894921370859,0.9586206896551724,0.950004209703559,0.09401988016034002,0.9386364924439204,29,0.8006002928842805,1.1484752697309346,145
ticker:MARA,5,0.7782143400997538,0.7604846895375723,0.1059589703977452,149,0.7919463087248322,0.6826894921370859,0.9932885906040269,0.950004209703559,0.17583506750896633,0.2777202729119932,30,0.636954267216833,0.9062803480295994,149
ticker:MCD,5,0.8825028456006886,0.9424477711333719,-0.11389248062675586,149,0.785234899328859,0.6826894921370859,0.9731543624161074,0.950004209703559,0.18661605224746358,0.217960047461627,30,0.7392641181266473,0.9942112121821878,149
ticker:META,5,1.1313237454712126,1.0169692639360404,-0.03861778465337222,149,0.5838926174496645,0.6826894921370859,0.912751677852349,0.950004209703559,0.15083960707353267,0.45786910663480596,30,0.9244320074294733,1.307793428947685,149
ticker:MRVL,5,0.9680436144402239,0.933371704592225,0.33330544778479404,149,0.697986577181208,0.6826894921370859,0.9328859060402684,0.950004209703559,0.19356819784131174,0.18493156498491703,30,0.792488678155005,1.1251356408418847,149
ticker:MS,5,0.7995317813150935,0.8438229684424841,0.1576176308997868,149,0.7718120805369127,0.6826894921370859,1.0,0.950004209703559,0.19424926320964742,0.1819170964481821,30,0.6775862734302996,0.8844061121245111,149
ticker:MSFT,5,1.2096837268216671,1.114064136865084,-0.02955905872253425,149,0.6442953020134228,0.6826894921370859,0.8791946308724832,0.950004209703559,0.14840499272543806,0.4783257880491736,30,0.9482869584475736,1.402859030918727,149
ticker:MSTR,5,1.025192031617757,0.8167092071516132,-0.11039994272313045,149,0.7248322147651006,0.6826894921370859,0.9194630872483222,0.950004209703559,0.1315858429264113,0.6292688895825032,30,0.7708546227758089,1.2448349152779048,149
ticker:MU,5,1.1004687807407594,1.0372423161719702,0.4279764951151579,149,0.5838926174496645,0.6826894921370859,0.8859060402684564,0.950004209703559,0.2588037140804121,0.029238361444704375,30,0.9147423334041572,1.249710866510734,149
ticker:NBIS,5,1.0085910125942565,1.1502622835644243,0.283506743986498,149,0.6577181208053692,0.6826894921370859,0.9463087248322147,0.950004209703559,0.15547714420675338,0.42020716192911955,30,0.8637459961673761,1.155368711722921,149
ticker:NET,5,1.0388269046902303,1.018197086331217,0.15522498967312187,149,0.6442953020134228,0.6826894921370859,0.9463087248322147,0.950004209703559,0.1583354632609364,0.3979020767941621,30,0.8622753695536166,1.2094115847544331,149
