entry_index,entry_date,entry_price,pivot_index,confirm_lag_bars,resistance,support,stretch,down,outcome,ticker,k_atr,null_hit
103,2025-11-28,1047.3,98,4,1202.59,992.52,1332.4132599999998,862.6967400000001,neither,BLK,2.0,0.0025
128,2026-01-06,1112.28,118,9,1101.84,1060.17,1127.5920599999997,1034.4179400000003,stop,BLK,2.0,0.7075
136,2026-01-16,1163.17,129,6,1119.76,1075.09,1147.36606,1047.4839399999998,hit,BLK,2.0,0.9825
192,2026-04-09,1001.62,173,18,1163.17,922.9,1311.65686,774.4131399999999,neither,BLK,2.0,0.0
239,2026-06-16,1052.23,230,8,1104.03,990.87,1173.96288,920.93712,stop,BLK,2.0,0.23
252,2026-07-07,1009.43,247,4,1057.38,950.17,1123.6357800000003,883.9142199999999,hit,BLK,2.0,0.2425
46,2025-09-09,361.77,41,4,371.03,342.81,388.46995999999996,325.37004,stop,CDNS,2.0,0.6675
54,2025-09-19,373.35,47,6,361.77,338.53,376.13232,324.16767999999996,stop,CDNS,2.0,0.9175
80,2025-10-27,351.4,72,7,373.37,324.1,403.81886,293.65114000000005,stop,CDNS,2.0,0.3925
106,2025-12-03,336.11,99,6,351.4,300.58,382.80676,269.17323999999996,stop,CDNS,2.0,0.3225
130,2026-01-08,318.8,127,2,338.06,301.22,360.82712,278.45288000000005,stop,CDNS,2.0,0.31
153,2026-02-11,299.65,147,5,327.31,268.5,363.65458,232.15542,stop,CDNS,2.0,0.11
195,2026-04-14,292.37,193,1,305.43,265.66,330.00786,241.08214000000004,hit,CDNS,2.0,0.2675
224,2026-05-26,381.75,220,3,364.2,338.12,380.31744,322.00256,hit,CDNS,2.0,0.9
45,2025-09-08,98.67,33,11,116.56,86.55,135.10618,68.00381999999999,hit,COHR,2.0,0.3375
80,2025-10-27,134.99,71,8,122.35,109.37,130.37163999999999,101.34836000000001,hit,COHR,2.0,0.98
104,2025-12-01,163.5,98,5,166.72,135.61,185.94598,116.38402000000002,hit,COHR,2.0,0.825
127,2026-01-05,186.36,116,10,198.5,170.44,215.84108,153.09892,stop,COHR,2.0,0.71
192,2026-04-09,284.17,185,6,298.91,219.65,347.89268000000004,170.66732,hit,COHR,2.0,0.8225
215,2026-05-12,374.01,205,9,350.47,303.97,379.20700000000005,275.233,hit,COHR,2.0,0.935
243,2026-06-23,381.22,235,7,426.89,354.77,471.46016,310.19984,stop,COHR,2.0,0.5525
272,2026-08-04,323.73,268,3,425.48,222.05,551.19974,96.33026000000001,neither,COHR,2.0,0.3
51,2025-09-16,327.91,22,28,419.78,297.99,495.04621999999995,222.72378000000003,stop,COIN,2.0,0.035
62,2025-10-01,346.17,58,3,343.13,306.69,365.64992,284.17008,hit,COIN,2.0,0.62
81,2025-10-28,355.22,77,3,387.27,320.33,428.63892,278.96108,stop,COIN,2.0,0.3025
107,2025-12-04,274.05,98,8,361.43,238.16,437.61086,161.97913999999997,stop,COIN,2.0,0.0225
128,2026-01-06,250.56,125,2,277.36,226.14,309.01396000000005,194.48603999999997,stop,COIN,2.0,0.1775
159,2026-02-20,171.35,154,4,255.86,141.09,326.78786,70.16214,neither,COIN,2.0,0.005
196,2026-04-15,195.9,185,10,210.23,160.79,240.78392,130.23608,stop,COIN,2.0,0.2275
215,2026-05-12,207.64,206,8,211.63,181.73,230.1082,163.25179999999997,stop,COIN,2.0,0.4425
251,2026-07-06,168.87,245,5,216.6,142.52,262.38144,96.73856000000002,stop,COIN,2.0,0.0525
46,2025-09-09,979.25,41,4,994.57,938.82,1029.0235,904.3665000000001,stop,COST,2.0,0.35
69,2025-10-10,930.01,65,3,979.25,910.94,1021.4655799999999,868.7244200000001,stop,COST,2.0,0.0475
87,2025-11-05,935.03,84,2,954.99,911.45,981.8977199999999,884.5422800000001,stop,COST,2.0,0.2275
106,2025-12-03,922.26,100,5,940.74,886.12,974.49516,852.36484,stop,COST,2.0,0.225
129,2026-01-07,882.58,119,9,922.26,850.0,966.91668,805.34332,hit,COST,2.0,0.05
149,2026-02-05,989.29,145,3,983.25,940.25,1009.824,913.676,hit,COST,2.0,0.65
189,2026-04-06,1018.55,180,8,1018.48,965.73,1051.0795,933.1305,hit,COST,2.0,0.5925
203,2026-04-24,1011.15,195,7,1032.03,974.8,1067.39814,939.4318599999999,hit,COST,2.0,0.3775
267,2026-07-28,966.58,254,12,1094.32,912.97,1206.3943,800.8957,neither,COST,2.0,0.0125
52,2025-09-17,131.04,45,6,235.08,112.46,310.85916000000003,36.68083999999999,stop,CRCL,2.0,0.0025
107,2025-12-04,87.46,98,8,150.48,66.93,202.11389999999997,15.296100000000017,stop,CRCL,2.0,0.0025
157,2026-02-18,63.15,149,7,88.88,50.23,112.7657,26.344299999999997,hit,CRCL,2.0,0.0075
196,2026-04-15,105.52,192,3,132.84,85.1,162.34332,55.59667999999999,stop,CRCL,2.0,0.1475
210,2026-05-05,114.19,207,2,107.46,90.88,117.70643999999999,80.63356,hit,CRCL,2.0,0.705
38,2025-08-27,122.73,33,4,125.38,105.99,137.36302,94.00698,hit,CRDO,2.0,0.845
76,2025-10-21,144.17,71,4,172.31,129.75,198.61208,103.44792,stop,CRDO,2.0,0.4725
103,2025-11-28,177.6,99,3,187.62,133.49,221.07234,100.03766000000002,stop,CRDO,2.0,0.715
133,2026-01-13,161.38,128,4,189.19,132.95,223.94632000000001,98.19367999999999,stop,CRDO,2.0,0.4425
152,2026-02-10,134.72,148,3,161.38,96.95,201.19773999999998,57.13226000000001,stop,CRDO,2.0,0.2975
175,2026-03-16,116.88,166,8,134.72,97.3,157.84556,74.17444,stop,CRDO,2.0,0.375
191,2026-04-08,110.21,185,5,117.69,87.81,136.15583999999998,69.34416,hit,CRDO,2.0,0.52
211,2026-05-06,198.29,205,5,195.04,165.92,213.03616,147.92383999999998,stop,CRDO,2.0,0.745
223,2026-05-22,218.41,219,3,210.22,156.27,243.56109999999998,122.92890000000003,hit,CRDO,2.0,0.74
273,2026-08-05,224.63,268,4,302.52,177.45,379.81325999999996,100.15674,neither,CRDO,2.0,0.285
33,2025-08-20,246.45,27,5,270.25,231.66,294.09862,207.81137999999999,neither,CRM,2.0,0.0125
76,2025-10-21,263.41,62,13,256.45,235.69,269.27968,222.86032,stop,CRM,2.0,0.7
108,2025-12-05,260.57,98,9,263.41,225.37,286.91872,201.86128,stop,CRM,2.0,0.3225
130,2026-01-08,260.53,126,3,266.23,253.62,274.02298,245.82702,stop,CRM,2.0,0.3
164,2026-02-27,194.79,160,3,266.12,178.16,320.47928,123.80071999999998,stop,CRM,2.0,0.0
198,2026-04-17,182.14,193,4,202.11,164.96,225.0687,142.00130000000001,stop,CRM,2.0,0.0375
228,2026-06-01,209.6,216,11,189.8,165.84,204.60728,151.03272,hit,CRM,2.0,0.9725
251,2026-07-06,165.65,242,8,209.6,150.12,246.35863999999998,113.36136000000002,neither,CRM,2.0,0.0025
267,2026-07-28,181.5,264,2,173.79,156.93,184.20947999999999,146.51052,hit,CRM,2.0,0.72
51,2025-09-16,444.98,43,7,442.0,412.46,460.25572,394.20428,hit,CRWD,2.0,0.4175
143,2026-01-28,469.19,137,5,557.53,442.73,628.4763999999999,371.78360000000004,stop,CRWD,2.0,0.0275
154,2026-02-12,411.54,149,4,476.66,377.16,538.1510000000001,315.66900000000004,stop,CRWD,2.0,0.025
168,2026-03-05,426.16,161,6,429.64,350.25,478.70302,301.18698,stop,CRWD,2.0,0.3175
191,2026-04-08,426.51,184,6,442.03,369.58,486.80409999999995,324.8059,stop,CRWD,2.0,0.325
214,2026-05-11,135.565,195,18,426.51,99.6225,628.526475,-102.39397499999998,neither,CRWD,2.0,0.0
248,2026-06-30,190.785,234,13,195.5425,161.2325,216.74608,140.02891999999997,hit,CRWD,2.0,0.5425
272,2026-08-04,211.22,268,3,210.73,179.38,230.1043,160.0057,neither,CRWD,2.0,0.655
48,2025-09-11,112.69,43,4,148.75,87.48,186.61486,49.615140000000004,stop,CRWV,2.0,0.0825
108,2025-12-05,88.3,98,9,143.08,69.21,188.73166000000003,23.55833999999998,stop,CRWV,2.0,0.0175
119,2025-12-22,84.83,116,2,90.66,64.55,106.79598,48.414019999999994,hit,CRWV,2.0,0.355
133,2026-01-13,87.48,125,7,84.83,71.61,92.99996,63.440039999999996,hit,CRWV,2.0,0.655
152,2026-02-10,95.11,149,2,108.86,74.65,130.00178,53.50822000000001,stop,CRWV,2.0,0.3075
183,2026-03-26,80.45,169,13,99.3,72.99,115.55958,56.730419999999995,stop,CRWV,2.0,0.16
191,2026-04-08,88.9,185,5,87.58,69.15,98.96974,57.76026000000001,hit,CRWV,2.0,0.6
210,2026-05-05,127.89,205,4,122.54,105.53,133.05218000000002,95.01782,hit,CRWV,2.0,0.72
229,2026-06-02,119.27,220,8,137.98,99.81,161.56905999999998,76.22094000000001,stop,CRWV,2.0,0.3675
240,2026-06-17,115.21,235,4,124.82,95.61,142.87178,77.55822,stop,CRWV,2.0,0.4325
272,2026-08-04,91.9,268,3,117.95,60.82,153.25634,25.51366,neither,CRWV,2.0,0.1875
15,2025-07-25,154.84,11,3,155.31,149.68,158.78934,146.20066,hit,CVX,2.0,0.6725
31,2025-08-18,155.32,21,9,157.03,151.04,160.73182,147.33818,hit,CVX,2.0,0.58
52,2025-09-17,160.09,44,7,161.83,153.66,166.87906,148.61094,stop,CVX,2.0,0.6925
76,2025-10-21,153.79,69,6,160.72,148.9,168.02476,141.59524000000002,stop,CVX,2.0,0.2675
125,2025-12-31,152.41,115,9,157.72,146.75,164.49946,139.97054,hit,CVX,2.0,0.2475
132,2026-01-12,162.34,129,2,163.85,155.2,169.1957,149.8543,hit,CVX,2.0,0.6075
219,2026-05-18,196.12,213,5,211.15,181.62,229.39954,163.37046,stop,CVX,2.0,0.2375
253,2026-07-08,175.97,249,3,197.25,165.69,216.75408,146.18592,neither,CVX,2.0,0.0725
28,2025-08-13,449.42,20,7,450.21,435.72,459.16481999999996,426.76518000000004,hit,DIA,2.0,0.4
76,2025-10-21,469.22,69,6,467.51,454.87,475.32151999999996,447.05848000000003,hit,DIA,2.0,0.8475
102,2025-11-26,474.35,98,3,482.76,458.1,497.99987999999996,442.86012000000005,hit,DIA,2.0,0.5225
151,2026-02-09,501.22,137,13,495.9,484.88,502.71036,478.06964,hit,DIA,2.0,0.935
190,2026-04-07,465.88,184,5,501.9,451.39,533.11518,420.17482,neither,DIA,2.0,0.01
239,2026-06-16,521.44,235,3,516.7,500.25,526.8661000000001,490.08389999999997,hit,DIA,2.0,0.88
272,2026-08-04,540.43,268,3,530.09,515.41,539.1622400000001,506.33775999999995,hit,DIA,2.0,0.9825
35,2025-08-15,309.57,25,9,395.76,274.66,470.59979999999996,199.82020000000006,neither,ELV,2.0,0.0
98,2025-11-13,328.28,95,2,362.34,303.78,398.53008,267.58991999999995,neither,ELV,2.0,0.13
133,2026-01-06,371.37,123,9,360.67,340.69,373.01764000000003,328.34236,hit,ELV,2.0,0.865
164,2026-02-20,342.93,147,16,381.93,322.92,418.39818,286.45182,stop,ELV,2.0,0.1625
194,2026-04-06,302.61,175,18,348.18,280.74,389.85792000000004,239.06208,hit,ELV,2.0,0.07
255,2026-07-02,417.89,249,5,424.43,384.0,449.41574,359.01426,stop,ELV,2.0,0.545
88,2025-12-11,23.51,75,12,22.95,16.78,26.76306,12.966940000000003,hit,FLY,2.0,0.35
95,2025-12-22,28.6,92,2,23.51,18.53,26.58764,15.45236,hit,FLY,2.0,0.95
106,2026-01-08,27.99,101,4,28.6,22.37,32.450140000000005,18.51986,hit,FLY,2.0,0.41
152,2026-03-17,24.58,130,21,33.41,19.13,42.23504,10.304960000000001,hit,FLY,2.0,0.08
