entry_date,spot,vix,rv,vrp_z,w,short_put,long_put,width,credit_pts,credit_usd,max_loss_usd,contracts,margin_usd,exit_date,exit_spot,breached,net_pnl_usd,ror
2010-10-01,1146.24,22.5,0.1261,1.073,1.0,1096.3,1056.5,39.8,8.093,7284.0,3167.0,9,28499.0,2010-11-12,1199.21,False,6909.0,0.242
2010-10-08,1165.15,20.71,0.1332,0.398,0.797,1118.5,1081.1,37.4,7.546,5282.0,2985.0,7,20892.0,2010-11-19,1199.73,False,5009.0,0.24
2010-10-22,1183.08,18.78,0.1171,0.301,0.603,1140.3,1105.7,34.6,6.922,4153.0,2770.0,6,16621.0,2010-12-06,1223.12,False,3936.0,0.237
2010-10-29,1183.26,21.2,0.1125,1.086,1.0,1134.7,1095.9,38.8,7.852,7067.0,3096.0,9,27868.0,2010-12-13,1240.46,False,6703.0,0.241
2010-11-05,1225.85,18.26,0.1033,0.516,1.0,1182.8,1147.9,34.9,6.967,6967.0,2797.0,10,27968.0,2010-12-20,1247.08,False,6603.0,0.236
2010-11-12,1199.21,20.61,0.119,0.707,1.0,1151.4,1113.1,38.3,7.728,6955.0,3058.0,9,27525.0,2010-12-28,1258.51,False,6596.0,0.24
2010-11-29,1187.76,21.53,0.1462,0.156,0.312,1138.2,1098.7,39.5,8.01,1602.0,3152.0,2,6305.0,2011-01-11,1274.48,False,1519.0,0.241
2010-12-28,1258.51,17.52,0.093,0.607,1.0,1216.2,1181.7,34.5,6.853,6853.0,2763.0,10,27634.0,2011-02-09,1320.88,False,6493.0,0.235
2011-01-04,1270.2,17.38,0.056,1.576,1.0,1227.9,1193.3,34.5,6.859,6859.0,2768.0,10,27684.0,2011-02-16,1336.32,False,6499.0,0.235
2011-01-11,1274.48,16.89,0.0581,1.343,1.0,1233.3,1199.6,33.7,6.682,6682.0,2705.0,10,27049.0,2011-02-24,1306.1,False,6328.0,0.234
2011-01-19,1281.92,17.31,0.0742,0.996,1.0,1239.4,1204.7,34.7,6.894,6894.0,2784.0,10,27835.0,2011-03-03,1330.97,False,6532.0,0.235
2011-01-26,1296.63,16.64,0.0743,0.808,1.0,1255.4,1221.6,33.8,6.694,6694.0,2714.0,10,27140.0,2011-03-10,1295.11,False,6339.0,0.234
2011-02-16,1336.32,16.72,0.1008,0.102,0.204,1293.6,1258.6,35.0,6.933,1387.0,2810.0,2,5619.0,2011-03-31,1325.83,False,1314.0,0.234
2011-02-24,1306.1,21.32,0.1286,0.571,1.0,1252.2,1209.1,43.1,8.718,6975.0,3436.0,8,27485.0,2011-04-07,1333.51,False,6617.0,0.241
2011-03-10,1295.11,21.88,0.1508,0.093,0.185,1240.2,1196.5,43.8,8.882,888.0,3488.0,1,3488.0,2011-04-21,1337.38,False,843.0,0.242
2011-03-17,1273.72,26.37,0.1739,0.694,1.0,1208.6,1157.4,51.2,10.621,7435.0,4059.0,7,28414.0,2011-04-29,1363.61,False,7058.0,0.248
2011-04-14,1314.52,16.27,0.0817,0.579,1.0,1273.7,1240.1,33.6,6.631,6631.0,2694.0,10,26944.0,2011-05-27,1331.1,False,6278.0,0.233
2011-05-06,1340.2,18.4,0.0979,0.762,1.0,1292.8,1254.3,38.5,7.677,6909.0,3079.0,9,27714.0,2011-06-20,1278.36,True,-6403.0,-0.231
2011-05-20,1333.27,17.43,0.099,0.459,0.918,1288.7,1252.4,36.4,7.221,6499.0,2914.0,9,26223.0,2011-07-05,1337.88,False,6162.0,0.235
2011-06-13,1271.83,19.61,0.1312,0.094,0.187,1223.7,1184.9,38.8,7.783,778.0,3099.0,1,3099.0,2011-07-26,1331.94,False,738.0,0.238
2011-08-02,1254.05,24.79,0.163,0.753,1.0,1193.8,1146.1,47.6,9.8,6860.0,3781.0,7,26469.0,2011-09-14,1188.68,True,2956.0,0.112
2011-09-21,1166.76,37.32,0.2649,1.071,1.0,1083.8,1019.3,64.4,14.071,7035.0,5034.0,5,25171.0,2011-11-02,1237.9,False,6684.0,0.266
2011-09-28,1151.06,41.08,0.279,1.48,1.0,1061.7,992.5,69.2,15.395,7698.0,5385.0,5,26927.0,2011-11-09,1229.1,False,7315.0,0.272
2011-10-05,1144.03,37.81,0.2943,0.553,1.0,1061.7,997.8,63.9,13.992,6996.0,4991.0,5,24956.0,2011-11-16,1236.91,False,6647.0,0.266
2011-11-09,1229.1,36.16,0.2986,0.262,0.525,1144.2,1078.2,66.0,14.329,2866.0,5162.0,2,10325.0,2011-12-22,1254.0,False,2723.0,0.264
2011-11-23,1161.79,33.98,0.2875,0.096,0.193,1086.0,1027.1,58.9,12.672,1267.0,4626.0,1,4626.0,2012-01-09,1280.7,False,1204.0,0.26
2011-12-30,1257.6,23.4,0.1858,0.106,0.212,1200.5,1155.3,45.2,9.251,925.0,3600.0,1,3600.0,2012-02-14,1350.5,False,878.0,0.244
2012-01-17,1293.67,22.2,0.1437,0.726,1.0,1238.0,1193.7,44.3,9.007,7206.0,3531.0,8,28244.0,2012-02-29,1365.68,False,6837.0,0.242
2012-01-24,1314.65,18.91,0.0994,0.961,1.0,1266.7,1228.0,38.7,7.747,6972.0,3098.0,9,27881.0,2012-03-07,1352.63,False,6612.0,0.237
2012-01-31,1312.41,19.44,0.0833,1.365,1.0,1263.2,1223.5,39.7,7.959,7163.0,3172.0,9,28551.0,2012-03-14,1394.28,False,6794.0,0.238
2012-02-07,1347.05,17.65,0.0834,0.995,1.0,1301.4,1264.2,37.2,7.391,6652.0,2978.0,9,26804.0,2012-03-21,1402.89,False,6307.0,0.235
2012-02-14,1350.5,19.54,0.0846,1.285,1.0,1299.6,1258.5,41.0,8.234,6587.0,3280.0,8,26238.0,2012-03-28,1405.54,False,6248.0,0.238
2012-02-22,1357.66,18.19,0.0889,0.933,1.0,1310.2,1271.6,38.6,7.685,769.0,3087.0,1,3087.0,2012-04-04,1398.96,False,729.0,0.236
2012-02-29,1365.68,18.43,0.0825,1.083,1.0,1317.2,1278.0,39.3,7.836,7053.0,3143.0,9,28284.0,2012-04-12,1387.57,False,6689.0,0.236
